year,grade,national_avg_score,washington_avg_score,gap_wa_vs_national
2015,4,222.51778238114,225.892889059031,3.3751066778910115
2017,4,221.892902768779,223.123408781764,1.2305060129849892
2019,4,220.474059149004,219.692800380164,-0.7812587688400185
2022,4,217.494490502989,216.690692889093,-0.8037976138960232
2024,4,215.044096718576,215.715249116431,0.6711523978550247
2015,8,265.44331446909,267.250880666457,1.8075661973670094
2017,8,266.577954235286,271.617022995208,5.039068759922031
2019,8,263.149657191501,266.277038164971,3.1273809734699967
2022,8,260.46922366966,261.539145444344,1.069921774684019
2024,8,258.049833763416,259.269118662247,1.219284898831006
