district,librarian_fte,year,librarians_per_school,students_per_librarian,teachers_per_librarian,teacher_fte,locale_code,locale_tier
Aberdeen School District (WA),1.0,2015-16,0.09,3288.0,195.0,194.9,33.0,Mid-size
Aberdeen School District (WA),1.0,2016-17,0.09,3408.0,204.0,204.19,33.0,Mid-size
Aberdeen School District (WA),1.0,2017-18,0.09,3435.0,208.0,207.68,33.0,Mid-size
Aberdeen School District (WA),1.0,2018-19,0.08,3534.0,210.0,210.36,33.0,Mid-size
Aberdeen School District (WA),0.0,2019-20,0.0,,,203.55,33.0,Mid-size
Aberdeen School District (WA),0.0,2020-21,0.0,,,163.9,33.0,Mid-size
Aberdeen School District (WA),0.0,2021-22,0.0,,,186.56,33.0,Mid-size
Aberdeen School District (WA),0.0,2022-23,0.0,,,204.0,33.0,Mid-size
Aberdeen School District (WA),0.0,2023-24,,,,182.37,33.0,Mid-size
Aberdeen School District (WA),0.0,2024-25,,,,170.8,33.0,Mid-size
Adna School District (WA),0.0,2015-16,0.0,,,34.5,42.0,Distant Rural
Adna School District (WA),0.0,2016-17,0.0,,,35.83,42.0,Distant Rural
Adna School District (WA),0.0,2017-18,0.0,,,36.37,42.0,Distant Rural
Adna School District (WA),0.0,2018-19,0.0,,,36.35,42.0,Distant Rural
Adna School District (WA),0.0,2019-20,0.0,,,36.21,42.0,Distant Rural
Adna School District (WA),0.0,2020-21,0.0,,,36.26,42.0,Distant Rural
Adna School District (WA),0.0,2021-22,0.0,,,33.67,42.0,Distant Rural
Adna School District (WA),0.0,2022-23,0.0,,,37.0,42.0,Distant Rural
Adna School District (WA),0.0,2023-24,,,,32.01,42.0,Distant Rural
Adna School District (WA),0.0,2024-25,,,,34.16,42.0,Distant Rural
Almira School District (WA),0.0,2015-16,0.0,,,9.5,43.0,Distant Rural
Almira School District (WA),0.0,2016-17,0.0,,,11.01,43.0,Distant Rural
Almira School District (WA),0.0,2017-18,0.0,,,9.84,43.0,Distant Rural
Almira School District (WA),0.0,2018-19,0.0,,,10.98,43.0,Distant Rural
Almira School District (WA),0.0,2019-20,0.0,,,10.99,43.0,Distant Rural
Almira School District (WA),0.0,2020-21,0.0,,,11.0,43.0,Distant Rural
Almira School District (WA),0.0,2021-22,0.0,,,10.7,43.0,Distant Rural
Almira School District (WA),0.0,2022-23,0.0,,,11.0,43.0,Distant Rural
Almira School District (WA),0.0,2023-24,,,,10.68,43.0,Distant Rural
Almira School District (WA),0.0,2024-25,,,,11.97,43.0,Distant Rural
Anacortes School District (WA),0.0,2015-16,0.0,,,134.25,31.0,Mid-size
Anacortes School District (WA),0.0,2016-17,0.0,,,145.61,31.0,Mid-size
Anacortes School District (WA),0.0,2017-18,0.0,,,151.27,31.0,Mid-size
Anacortes School District (WA),0.0,2018-19,0.0,,,151.13,31.0,Mid-size
Anacortes School District (WA),1.0,2019-20,0.13,2795.0,147.0,147.03,31.0,Mid-size
Anacortes School District (WA),1.0,2020-21,0.13,2586.0,147.0,146.92,31.0,Mid-size
Anacortes School District (WA),1.0,2021-22,0.13,2551.0,143.0,142.65,31.0,Mid-size
Anacortes School District (WA),1.0,2022-23,0.13,2606.0,144.0,144.0,31.0,Mid-size
Anacortes School District (WA),1.0,2023-24,0.13,2621.0,142.0,142.03,31.0,Mid-size
Anacortes School District (WA),1.0,2024-25,0.13,2595.0,141.0,140.91,31.0,Mid-size
Arlington School District (WA),3.0,2015-16,0.3,1853.0,92.0,276.02,22.0,Suburban
Arlington School District (WA),3.0,2016-17,0.3,1850.0,93.0,280.16,22.0,Suburban
Arlington School District (WA),2.0,2017-18,0.18,2788.0,142.0,283.73,22.0,Suburban
Arlington School District (WA),2.0,2018-19,0.18,2915.0,150.0,300.93,22.0,Suburban
Arlington School District (WA),2.0,2019-20,0.18,2968.0,155.0,309.68,22.0,Suburban
Arlington School District (WA),2.0,2020-21,0.18,2726.0,155.0,309.89,22.0,Suburban
Arlington School District (WA),2.0,2021-22,0.18,2699.0,149.0,297.56,22.0,Suburban
Arlington School District (WA),2.0,2022-23,0.18,2753.0,157.0,313.0,22.0,Suburban
Arlington School District (WA),2.0,2023-24,0.18,2819.0,149.0,297.91,22.0,Suburban
Arlington School District (WA),0.0,2024-25,,,,293.84,22.0,Suburban
Asotin-Anatone School District (WA),0.0,2015-16,0.0,,,37.8,23.0,Suburban
Asotin-Anatone School District (WA),0.0,2016-17,0.0,,,38.02,23.0,Suburban
Asotin-Anatone School District (WA),0.0,2017-18,0.0,,,38.03,23.0,Suburban
Asotin-Anatone School District (WA),0.0,2018-19,0.0,,,39.42,23.0,Suburban
Asotin-Anatone School District (WA),0.0,2019-20,0.0,,,36.61,23.0,Suburban
Asotin-Anatone School District (WA),0.0,2020-21,0.0,,,39.6,23.0,Suburban
Asotin-Anatone School District (WA),0.0,2021-22,0.0,,,39.21,23.0,Suburban
Asotin-Anatone School District (WA),0.0,2022-23,0.0,,,39.0,23.0,Suburban
Asotin-Anatone School District (WA),0.0,2023-24,,,,40.0,23.0,Suburban
Asotin-Anatone School District (WA),0.0,2024-25,,,,38.33,23.0,Suburban
Auburn School District (WA),21.0,2015-16,0.91,755.0,41.0,853.82,13.0,Urban
Auburn School District (WA),21.02,2016-17,0.91,769.0,43.0,913.91,13.0,Urban
Auburn School District (WA),21.01,2017-18,0.91,796.0,43.0,912.77,13.0,Urban
Auburn School District (WA),21.0,2018-19,0.88,834.0,44.0,923.75,13.0,Urban
Auburn School District (WA),13.95,2019-20,0.58,1287.0,70.0,979.73,13.0,Urban
Auburn School District (WA),14.05,2020-21,0.56,1210.0,72.0,1005.6,13.0,Urban
Auburn School District (WA),15.0,2021-22,0.58,1156.0,59.0,884.88,13.0,Urban
Auburn School District (WA),16.0,2022-23,0.59,1116.0,66.0,1055.0,13.0,Urban
Auburn School District (WA),15.5,2023-24,0.6,1168.0,69.0,1066.01,13.0,Urban
Auburn School District (WA),15.0,2024-25,0.58,1212.0,70.0,1051.42,13.0,Urban
Bainbridge Island School District (WA),5.25,2015-16,0.53,747.0,39.0,205.29,22.0,Suburban
Bainbridge Island School District (WA),5.25,2016-17,0.53,740.0,39.0,206.05,22.0,Suburban
Bainbridge Island School District (WA),5.05,2017-18,0.51,767.0,40.0,201.98,22.0,Suburban
Bainbridge Island School District (WA),5.25,2018-19,0.53,728.0,41.0,215.45,22.0,Suburban
Bainbridge Island School District (WA),5.25,2019-20,0.53,730.0,40.0,207.79,22.0,Suburban
Bainbridge Island School District (WA),5.25,2020-21,0.53,686.0,40.0,208.92,22.0,Suburban
Bainbridge Island School District (WA),5.25,2021-22,0.53,693.0,37.0,194.12,22.0,Suburban
Bainbridge Island School District (WA),5.25,2022-23,0.53,685.0,38.0,202.0,22.0,Suburban
Bainbridge Island School District (WA),4.55,2023-24,0.46,781.0,43.0,197.63,22.0,Suburban
Bainbridge Island School District (WA),4.6,2024-25,0.46,764.0,42.0,195.27,22.0,Suburban
Battle Ground School District (WA),15.0,2015-16,0.71,905.0,48.0,721.86,21.0,Suburban
Battle Ground School District (WA),15.0,2016-17,0.71,895.0,50.0,742.65,21.0,Suburban
Battle Ground School District (WA),15.0,2017-18,0.71,893.0,50.0,756.89,21.0,Suburban
Battle Ground School District (WA),8.0,2018-19,0.38,1650.0,94.0,749.52,21.0,Suburban
Battle Ground School District (WA),8.0,2019-20,0.38,1650.0,90.0,717.24,21.0,Suburban
Battle Ground School District (WA),8.0,2020-21,0.38,1479.0,88.0,705.23,21.0,Suburban
Battle Ground School District (WA),8.0,2021-22,0.38,1468.0,77.0,614.81,21.0,Suburban
Battle Ground School District (WA),8.0,2022-23,0.38,1549.0,88.0,700.0,21.0,Suburban
Battle Ground School District (WA),8.0,2023-24,0.36,1553.0,90.0,719.81,21.0,Suburban
Battle Ground School District (WA),8.0,2024-25,0.38,1594.0,88.0,705.31,21.0,Suburban
Bellevue School District (WA),22.26,2015-16,0.74,901.0,50.0,1106.35,12.0,Urban
Bellevue School District (WA),27.89,2016-17,0.93,733.0,39.0,1084.51,12.0,Urban
Bellevue School District (WA),26.7,2017-18,0.89,773.0,41.0,1097.98,12.0,Urban
Bellevue School District (WA),28.22,2018-19,0.91,766.0,40.0,1126.06,12.0,Urban
Bellevue School District (WA),22.75,2019-20,0.73,953.0,52.0,1172.36,12.0,Urban
Bellevue School District (WA),13.33,2020-21,0.43,1515.0,87.0,1157.6,12.0,Urban
Bellevue School District (WA),18.48,2021-22,0.6,1056.0,56.0,1035.69,12.0,Urban
Bellevue School District (WA),17.6,2022-23,0.55,1085.0,60.0,1058.0,12.0,Urban
Bellevue School District (WA),0.0,2023-24,,,,1115.22,12.0,Urban
Bellevue School District (WA),0.0,2024-25,,,,1145.22,12.0,Urban
Bellingham School District (WA),19.5,2015-16,0.75,580.0,31.0,598.2,13.0,Urban
Bellingham School District (WA),19.2,2016-17,0.74,600.0,32.0,607.81,13.0,Urban
Bellingham School District (WA),19.4,2017-18,0.78,605.0,33.0,643.91,13.0,Urban
Bellingham School District (WA),20.89,2018-19,0.84,570.0,32.0,663.34,13.0,Urban
Bellingham School District (WA),12.0,2019-20,0.48,1002.0,56.0,668.14,13.0,Urban
Bellingham School District (WA),12.1,2020-21,0.48,949.0,56.0,675.55,13.0,Urban
Bellingham School District (WA),19.61,2021-22,0.78,583.0,34.0,659.71,13.0,Urban
Bellingham School District (WA),20.1,2022-23,0.8,578.0,35.0,705.0,13.0,Urban
Bellingham School District (WA),13.12,2023-24,0.52,876.0,51.0,671.46,13.0,Urban
Bellingham School District (WA),9.14,2024-25,0.37,1240.0,71.0,651.58,13.0,Urban
Benge School District (WA),0.0,2015-16,0.0,,,1.96,43.0,Distant Rural
Benge School District (WA),0.0,2016-17,0.0,,,1.96,43.0,Distant Rural
Benge School District (WA),0.0,2017-18,0.0,,,2.0,43.0,Distant Rural
Benge School District (WA),0.0,2018-19,0.0,,,1.99,43.0,Distant Rural
Benge School District (WA),0.0,2019-20,0.0,,,2.0,43.0,Distant Rural
Benge School District (WA),0.0,2020-21,0.0,,,1.0,43.0,Distant Rural
Benge School District (WA),0.0,2021-22,0.0,,,2.0,43.0,Distant Rural
Benge School District (WA),0.0,2022-23,0.0,,,2.0,43.0,Distant Rural
Benge School District (WA),0.0,2023-24,,,,2.0,43.0,Distant Rural
Benge School District (WA),0.0,2024-25,,,,2.0,43.0,Distant Rural
Bethel School District (WA),17.2,2015-16,0.44,1101.0,57.0,972.33,21.0,Suburban
Bethel School District (WA),17.69,2016-17,0.47,1087.0,56.0,984.94,21.0,Suburban
Bethel School District (WA),17.43,2017-18,0.54,1134.0,58.0,1011.77,21.0,Suburban
Bethel School District (WA),17.17,2018-19,0.54,1172.0,62.0,1063.39,21.0,Suburban
Bethel School District (WA),18.2,2019-20,0.59,1133.0,61.0,1118.97,21.0,Suburban
Bethel School District (WA),18.28,2020-21,0.57,1098.0,63.0,1148.83,21.0,Suburban
Bethel School District (WA),18.9,2021-22,0.56,1094.0,59.0,1117.28,21.0,Suburban
Bethel School District (WA),12.19,2022-23,0.36,1736.0,94.0,1140.0,21.0,Suburban
Bethel School District (WA),12.4,2023-24,0.32,1737.0,93.0,1148.96,21.0,Suburban
Bethel School District (WA),12.5,2024-25,0.35,1716.0,93.0,1160.66,21.0,Suburban
Bickleton School District (WA),0.0,2015-16,0.0,,,10.87,43.0,Distant Rural
Bickleton School District (WA),0.0,2016-17,0.0,,,11.26,43.0,Distant Rural
Bickleton School District (WA),0.0,2017-18,0.0,,,11.99,43.0,Distant Rural
Bickleton School District (WA),0.0,2018-19,0.0,,,13.01,43.0,Distant Rural
Bickleton School District (WA),0.0,2019-20,0.0,,,12.7,43.0,Distant Rural
Bickleton School District (WA),0.0,2020-21,0.0,,,12.02,43.0,Distant Rural
Bickleton School District (WA),0.0,2021-22,0.0,,,12.0,43.0,Distant Rural
Bickleton School District (WA),0.0,2022-23,0.0,,,12.0,43.0,Distant Rural
Bickleton School District (WA),0.0,2023-24,,,,12.7,43.0,Distant Rural
Bickleton School District (WA),0.0,2024-25,,,,13.0,43.0,Distant Rural
Blaine School District (WA),2.8,2015-16,0.47,798.0,41.0,114.85,31.0,Mid-size
Blaine School District (WA),3.0,2016-17,0.43,752.0,40.0,120.0,31.0,Mid-size
Blaine School District (WA),3.0,2017-18,0.43,750.0,41.0,121.89,31.0,Mid-size
Blaine School District (WA),2.0,2018-19,0.29,1150.0,63.0,126.79,31.0,Mid-size
Blaine School District (WA),1.0,2019-20,0.14,2290.0,129.0,129.25,31.0,Mid-size
Blaine School District (WA),1.0,2020-21,0.14,2164.0,127.0,127.19,31.0,Mid-size
Blaine School District (WA),1.0,2021-22,0.14,2145.0,118.0,117.82,31.0,Mid-size
Blaine School District (WA),1.0,2022-23,0.14,2081.0,131.0,131.0,31.0,Mid-size
Blaine School District (WA),0.0,2023-24,,,,116.59,31.0,Mid-size
Blaine School District (WA),0.0,2024-25,,,,103.63,31.0,Mid-size
Boistfort School District (WA),0.0,2015-16,0.0,,,6.0,42.0,Distant Rural
Boistfort School District (WA),0.0,2016-17,0.0,,,6.0,42.0,Distant Rural
Boistfort School District (WA),0.0,2017-18,0.0,,,4.0,42.0,Distant Rural
Boistfort School District (WA),0.0,2018-19,0.0,,,6.17,42.0,Distant Rural
Boistfort School District (WA),0.0,2019-20,0.0,,,6.0,42.0,Distant Rural
Boistfort School District (WA),0.0,2020-21,0.0,,,8.06,42.0,Distant Rural
Boistfort School District (WA),0.0,2021-22,0.0,,,6.0,42.0,Distant Rural
Boistfort School District (WA),0.0,2022-23,0.0,,,4.0,42.0,Distant Rural
Boistfort School District (WA),0.0,2023-24,,,,6.0,42.0,Distant Rural
Boistfort School District (WA),0.0,2024-25,,,,5.57,42.0,Distant Rural
Bremerton School District (WA),5.75,2015-16,0.41,902.0,55.0,319.0,13.0,Urban
Bremerton School District (WA),5.74,2016-17,0.41,895.0,57.0,324.37,13.0,Urban
Bremerton School District (WA),5.74,2017-18,0.41,882.0,55.0,318.15,13.0,Urban
Bremerton School District (WA),5.85,2018-19,0.42,857.0,56.0,325.93,13.0,Urban
Bremerton School District (WA),5.0,2019-20,0.36,991.0,64.0,318.78,13.0,Urban
Bremerton School District (WA),1.01,2020-21,0.07,4491.0,302.0,305.27,13.0,Urban
Bremerton School District (WA),1.0,2021-22,0.07,4404.0,288.0,287.88,13.0,Urban
Bremerton School District (WA),1.0,2022-23,0.08,4383.0,303.0,303.0,13.0,Urban
Bremerton School District (WA),1.0,2023-24,0.08,4367.0,280.0,279.89,13.0,Urban
Bremerton School District (WA),1.0,2024-25,0.08,4383.0,280.0,280.03,13.0,Urban
Brewster School District (WA),0.75,2015-16,0.19,1329.0,80.0,59.88,43.0,Distant Rural
Brewster School District (WA),0.7,2016-17,0.18,1376.0,86.0,59.96,43.0,Distant Rural
Brewster School District (WA),0.0,2017-18,0.0,,,55.25,43.0,Distant Rural
Brewster School District (WA),0.0,2018-19,0.0,,,55.15,43.0,Distant Rural
Brewster School District (WA),0.0,2019-20,0.0,,,58.25,43.0,Distant Rural
Brewster School District (WA),0.0,2020-21,0.0,,,52.14,43.0,Distant Rural
Brewster School District (WA),0.0,2021-22,0.0,,,57.58,43.0,Distant Rural
Brewster School District (WA),0.0,2022-23,0.0,,,58.0,43.0,Distant Rural
Brewster School District (WA),0.0,2023-24,,,,59.92,43.0,Distant Rural
Brewster School District (WA),0.0,2024-25,,,,58.87,43.0,Distant Rural
Bridgeport School District (WA),0.0,2015-16,0.0,,,51.01,43.0,Distant Rural
Bridgeport School District (WA),0.0,2016-17,0.0,,,57.79,43.0,Distant Rural
Bridgeport School District (WA),0.0,2017-18,0.0,,,51.84,43.0,Distant Rural
Bridgeport School District (WA),0.0,2018-19,0.0,,,55.48,43.0,Distant Rural
Bridgeport School District (WA),0.0,2019-20,0.0,,,55.12,43.0,Distant Rural
Bridgeport School District (WA),0.0,2020-21,0.0,,,44.1,43.0,Distant Rural
Bridgeport School District (WA),0.0,2021-22,0.0,,,46.23,43.0,Distant Rural
Bridgeport School District (WA),0.0,2022-23,0.0,,,50.0,43.0,Distant Rural
Bridgeport School District (WA),0.0,2023-24,,,,48.26,43.0,Distant Rural
Bridgeport School District (WA),0.0,2024-25,,,,45.0,43.0,Distant Rural
Brinnon School District (WA),0.0,2015-16,0.0,,,4.1,41.0,Rural
Brinnon School District (WA),0.0,2016-17,0.0,,,4.12,41.0,Rural
Brinnon School District (WA),0.0,2017-18,0.0,,,4.3,41.0,Rural
Brinnon School District (WA),0.0,2018-19,0.0,,,5.34,41.0,Rural
Brinnon School District (WA),0.0,2019-20,0.0,,,5.33,41.0,Rural
Brinnon School District (WA),0.0,2020-21,0.0,,,5.32,41.0,Rural
Brinnon School District (WA),0.0,2021-22,0.0,,,6.13,41.0,Rural
Brinnon School District (WA),0.0,2022-23,0.0,,,6.0,41.0,Rural
Brinnon School District (WA),0.0,2023-24,,,,5.69,42.0,Distant Rural
Brinnon School District (WA),0.0,2024-25,,,,5.18,42.0,Distant Rural
Burlington-Edison School District (WA),0.0,2015-16,-0.13,-3683.0,-208.0,208.31,23.0,Suburban
Burlington-Edison School District (WA),0.0,2016-17,0.0,,,206.23,23.0,Suburban
Burlington-Edison School District (WA),0.0,2017-18,0.0,,,205.59,23.0,Suburban
Burlington-Edison School District (WA),0.0,2018-19,0.0,,,203.6,23.0,Suburban
Burlington-Edison School District (WA),0.0,2019-20,0.0,,,209.5,23.0,Suburban
Burlington-Edison School District (WA),0.0,2020-21,0.0,,,206.97,23.0,Suburban
Burlington-Edison School District (WA),0.0,2021-22,0.0,,,192.0,23.0,Suburban
Burlington-Edison School District (WA),0.0,2022-23,0.0,,,220.0,23.0,Suburban
Burlington-Edison School District (WA),0.0,2023-24,,,,204.39,23.0,Suburban
Burlington-Edison School District (WA),0.0,2024-25,,,,205.27,23.0,Suburban
Camas School District (WA),8.59,2015-16,0.78,804.0,41.0,351.12,21.0,Suburban
Camas School District (WA),8.6,2016-17,0.78,825.0,43.0,366.01,21.0,Suburban
Camas School District (WA),8.6,2017-18,0.78,825.0,44.0,379.4,21.0,Suburban
Camas School District (WA),9.0,2018-19,0.64,828.0,44.0,392.21,21.0,Suburban
Camas School District (WA),9.4,2019-20,0.63,810.0,41.0,384.5,21.0,Suburban
Camas School District (WA),9.4,2020-21,0.63,770.0,43.0,402.25,21.0,Suburban
Camas School District (WA),9.6,2021-22,0.6,753.0,41.0,388.95,21.0,Suburban
Camas School District (WA),9.6,2022-23,0.6,763.0,43.0,410.0,21.0,Suburban
Camas School District (WA),9.5,2023-24,0.59,763.0,40.0,384.62,21.0,Suburban
Camas School District (WA),9.5,2024-25,0.63,762.0,40.0,382.91,21.0,Suburban
Cape Flattery School District (WA),0.0,2015-16,-0.25,-475.0,-39.0,39.19,43.0,Distant Rural
Cape Flattery School District (WA),0.0,2016-17,0.0,,,36.53,43.0,Distant Rural
Cape Flattery School District (WA),0.0,2017-18,0.0,,,39.51,43.0,Distant Rural
Cape Flattery School District (WA),0.0,2018-19,0.0,,,38.51,43.0,Distant Rural
Cape Flattery School District (WA),0.0,2019-20,0.0,,,38.32,43.0,Distant Rural
Cape Flattery School District (WA),0.0,2020-21,0.0,,,38.92,43.0,Distant Rural
Cape Flattery School District (WA),0.0,2021-22,0.0,,,42.32,43.0,Distant Rural
Cape Flattery School District (WA),0.0,2022-23,0.0,,,40.0,43.0,Distant Rural
Cape Flattery School District (WA),0.0,2023-24,,,,38.99,43.0,Distant Rural
Cape Flattery School District (WA),0.0,2024-25,,,,39.88,43.0,Distant Rural
Carbonado School District (WA),0.0,2015-16,0.0,,,11.5,41.0,Rural
Carbonado School District (WA),0.0,2016-17,0.0,,,12.11,41.0,Rural
Carbonado School District (WA),0.0,2017-18,0.0,,,12.51,41.0,Rural
Carbonado School District (WA),0.0,2018-19,0.0,,,12.51,41.0,Rural
Carbonado School District (WA),0.0,2019-20,0.0,,,12.5,41.0,Rural
Carbonado School District (WA),0.0,2020-21,0.0,,,11.5,41.0,Rural
Carbonado School District (WA),0.0,2021-22,0.0,,,12.5,41.0,Rural
Carbonado School District (WA),0.0,2022-23,0.0,,,13.0,41.0,Rural
Carbonado School District (WA),0.0,2023-24,,,,12.52,41.0,Rural
Carbonado School District (WA),0.0,2024-25,,,,12.73,41.0,Rural
Cascade School District (WA),0.0,2015-16,0.0,,,78.02,32.0,Mid-size
Cascade School District (WA),0.0,2016-17,0.0,,,81.35,32.0,Mid-size
Cascade School District (WA),0.0,2017-18,0.0,,,76.01,32.0,Mid-size
Cascade School District (WA),0.0,2018-19,0.0,,,79.15,32.0,Mid-size
Cascade School District (WA),0.0,2019-20,0.0,,,80.5,32.0,Mid-size
Cascade School District (WA),0.0,2020-21,0.0,,,77.71,32.0,Mid-size
Cascade School District (WA),0.0,2021-22,0.0,,,83.17,32.0,Mid-size
Cascade School District (WA),0.0,2022-23,0.0,,,85.0,32.0,Mid-size
Cascade School District (WA),0.0,2023-24,,,,74.69,42.0,Distant Rural
Cascade School District (WA),0.0,2024-25,,,,78.23,42.0,Distant Rural
Cashmere School District (WA),2.68,2015-16,0.89,576.0,32.0,84.64,31.0,Mid-size
Cashmere School District (WA),2.24,2016-17,0.75,719.0,39.0,87.84,31.0,Mid-size
Cashmere School District (WA),2.47,2017-18,0.82,651.0,37.0,91.31,31.0,Mid-size
Cashmere School District (WA),1.95,2018-19,0.65,872.0,47.0,91.6,31.0,Mid-size
Cashmere School District (WA),1.5,2019-20,0.5,1117.0,63.0,95.03,31.0,Mid-size
Cashmere School District (WA),1.8,2020-21,0.6,903.0,53.0,94.97,31.0,Mid-size
Cashmere School District (WA),1.73,2021-22,0.58,938.0,53.0,92.26,31.0,Mid-size
Cashmere School District (WA),1.75,2022-23,0.58,903.0,58.0,101.0,31.0,Mid-size
Cashmere School District (WA),1.0,2023-24,0.33,1630.0,102.0,101.7,23.0,Suburban
Cashmere School District (WA),1.0,2024-25,0.33,1677.0,97.0,97.45,23.0,Suburban
Castle Rock School District (WA),0.0,2015-16,0.0,,,67.4,31.0,Mid-size
Castle Rock School District (WA),0.0,2016-17,0.0,,,69.9,31.0,Mid-size
Castle Rock School District (WA),0.0,2017-18,0.0,,,72.13,31.0,Mid-size
Castle Rock School District (WA),0.0,2018-19,0.0,,,74.52,31.0,Mid-size
Castle Rock School District (WA),0.0,2019-20,0.0,,,74.88,31.0,Mid-size
Castle Rock School District (WA),0.0,2020-21,0.0,,,69.98,31.0,Mid-size
Castle Rock School District (WA),0.0,2021-22,0.0,,,75.87,31.0,Mid-size
Castle Rock School District (WA),0.0,2022-23,0.0,,,86.0,31.0,Mid-size
Castle Rock School District (WA),0.0,2023-24,,,,90.04,23.0,Suburban
Castle Rock School District (WA),0.0,2024-25,,,,80.81,23.0,Suburban
Centerville School District (WA),0.0,2015-16,0.0,,,5.0,42.0,Distant Rural
Centerville School District (WA),0.0,2016-17,0.0,,,5.0,42.0,Distant Rural
Centerville School District (WA),0.0,2017-18,0.0,,,6.0,42.0,Distant Rural
Centerville School District (WA),0.0,2018-19,0.0,,,5.7,42.0,Distant Rural
Centerville School District (WA),0.0,2019-20,0.0,,,5.6,42.0,Distant Rural
Centerville School District (WA),0.0,2020-21,0.0,,,4.7,42.0,Distant Rural
Centerville School District (WA),0.0,2021-22,0.0,,,5.0,42.0,Distant Rural
Centerville School District (WA),0.0,2022-23,0.0,,,5.0,42.0,Distant Rural
Centerville School District (WA),0.0,2023-24,,,,5.0,43.0,Distant Rural
Centerville School District (WA),0.0,2024-25,,,,5.0,43.0,Distant Rural
Central Kitsap School District (WA),18.0,2015-16,0.78,616.0,33.0,587.39,13.0,Urban
Central Kitsap School District (WA),18.0,2016-17,0.9,617.0,34.0,605.07,13.0,Urban
Central Kitsap School District (WA),9.0,2017-18,0.47,1260.0,66.0,596.48,13.0,Urban
Central Kitsap School District (WA),18.0,2018-19,0.95,637.0,35.0,634.98,13.0,Urban
Central Kitsap School District (WA),18.0,2019-20,0.95,659.0,35.0,638.62,13.0,Urban
Central Kitsap School District (WA),18.0,2020-21,0.95,618.0,33.0,592.05,22.0,Suburban
Central Kitsap School District (WA),18.0,2021-22,0.95,626.0,34.0,606.33,13.0,Urban
Central Kitsap School District (WA),18.0,2022-23,0.95,623.0,34.0,612.0,13.0,Urban
Central Kitsap School District (WA),17.8,2023-24,0.94,624.0,34.0,603.26,13.0,Urban
Central Kitsap School District (WA),18.0,2024-25,0.95,617.0,34.0,605.01,13.0,Urban
Central Valley School District (WA),22.1,2015-16,0.79,603.0,33.0,735.41,13.0,Urban
Central Valley School District (WA),22.3,2016-17,0.8,604.0,33.0,746.56,13.0,Urban
Central Valley School District (WA),23.6,2017-18,0.84,588.0,34.0,814.08,13.0,Urban
Central Valley School District (WA),22.81,2018-19,0.76,640.0,37.0,840.13,13.0,Urban
Central Valley School District (WA),24.61,2019-20,0.79,601.0,33.0,816.0,13.0,Urban
Central Valley School District (WA),7.0,2020-21,0.23,2023.0,117.0,819.79,12.0,Urban
Central Valley School District (WA),23.0,2021-22,0.7,634.0,38.0,867.8,12.0,Urban
Central Valley School District (WA),8.0,2022-23,0.25,1836.0,117.0,933.0,12.0,Urban
Central Valley School District (WA),6.3,2023-24,0.2,2337.0,132.0,829.59,12.0,Urban
Central Valley School District (WA),6.1,2024-25,0.19,2463.0,139.0,849.3,12.0,Urban
Centralia School District (WA),0.0,2015-16,0.0,,,196.03,32.0,Mid-size
Centralia School District (WA),0.0,2016-17,0.0,,,199.67,32.0,Mid-size
Centralia School District (WA),0.0,2017-18,0.0,,,196.89,32.0,Mid-size
Centralia School District (WA),1.0,2018-19,0.11,3577.0,204.0,203.59,32.0,Mid-size
Centralia School District (WA),1.0,2019-20,0.11,3638.0,197.0,197.39,32.0,Mid-size
Centralia School District (WA),0.0,2020-21,0.0,,,180.23,32.0,Mid-size
Centralia School District (WA),0.0,2021-22,0.0,,,201.45,32.0,Mid-size
Centralia School District (WA),0.0,2022-23,0.0,,,210.0,32.0,Mid-size
Centralia School District (WA),1.0,2023-24,0.11,3374.0,208.0,208.07,32.0,Mid-size
Centralia School District (WA),1.0,2024-25,0.11,3313.0,192.0,191.61,32.0,Mid-size
Chehalis School District (WA),1.0,2015-16,0.11,3026.0,167.0,167.38,32.0,Mid-size
Chehalis School District (WA),1.0,2016-17,0.11,3068.0,172.0,171.68,32.0,Mid-size
Chehalis School District (WA),0.0,2017-18,0.0,,,175.12,32.0,Mid-size
Chehalis School District (WA),0.0,2018-19,0.0,,,177.03,32.0,Mid-size
Chehalis School District (WA),1.0,2019-20,0.13,3259.0,173.0,173.41,32.0,Mid-size
Chehalis School District (WA),0.0,2020-21,0.0,,,175.71,32.0,Mid-size
Chehalis School District (WA),0.0,2021-22,0.0,,,166.62,32.0,Mid-size
Chehalis School District (WA),0.0,2022-23,0.0,,,173.0,32.0,Mid-size
Chehalis School District (WA),0.0,2023-24,,,,173.64,32.0,Mid-size
Chehalis School District (WA),0.0,2024-25,,,,170.51,32.0,Mid-size
Cheney School District (WA),4.0,2015-16,0.33,1139.0,65.0,259.93,31.0,Mid-size
Cheney School District (WA),3.88,2016-17,0.32,1210.0,68.0,263.82,31.0,Mid-size
Cheney School District (WA),4.5,2017-18,0.38,1077.0,63.0,282.95,31.0,Mid-size
Cheney School District (WA),4.5,2018-19,0.38,1142.0,64.0,286.89,31.0,Mid-size
Cheney School District (WA),3.07,2019-20,0.26,1716.0,100.0,308.06,31.0,Mid-size
Cheney School District (WA),3.25,2020-21,0.27,1562.0,92.0,297.86,31.0,Mid-size
Cheney School District (WA),2.25,2021-22,0.19,2381.0,137.0,308.6,31.0,Mid-size
Cheney School District (WA),1.45,2022-23,0.12,3821.0,225.0,326.0,31.0,Mid-size
