district,librarian_fte,year,librarians_per_school,students_per_librarian,teachers_per_librarian,teacher_fte
Columbia (Stevens) School District (WA),0.0,2022-23,0.0,,,12.0
Columbia (Stevens) School District (WA),0.0,2023-24,,,,12.85
Columbia (Stevens) School District (WA),0.0,2024-25,,,,12.35
Columbia (Walla Walla) School District (WA),0.0,2015-16,0.0,,,48.2
Columbia (Walla Walla) School District (WA),0.0,2016-17,0.0,,,46.82
Columbia (Walla Walla) School District (WA),0.0,2017-18,0.0,,,46.16
Columbia (Walla Walla) School District (WA),0.0,2018-19,0.0,,,44.9
Columbia (Walla Walla) School District (WA),0.0,2019-20,0.0,,,45.58
Columbia (Walla Walla) School District (WA),0.0,2020-21,0.0,,,43.71
Columbia (Walla Walla) School District (WA),0.0,2021-22,0.0,,,47.8
Columbia (Walla Walla) School District (WA),0.0,2022-23,0.0,,,49.0
Columbia (Walla Walla) School District (WA),0.0,2023-24,,,,53.3
Columbia (Walla Walla) School District (WA),0.0,2024-25,,,,49.62
Colville School District (WA),2.0,2015-16,0.4,907.0,50.0,99.46
Colville School District (WA),2.02,2016-17,0.4,861.0,50.0,100.46
Colville School District (WA),3.02,2017-18,0.6,604.0,33.0,101.11
Colville School District (WA),3.02,2018-19,0.6,611.0,33.0,99.09
Colville School District (WA),2.52,2019-20,0.42,695.0,41.0,102.83
Colville School District (WA),2.52,2020-21,0.42,625.0,38.0,95.08
Colville School District (WA),2.52,2021-22,0.42,654.0,40.0,99.93
Colville School District (WA),2.5,2022-23,0.42,674.0,41.0,102.0
Colville School District (WA),3.0,2023-24,0.5,573.0,36.0,107.6
Colville School District (WA),1.5,2024-25,0.25,1158.0,68.0,101.96
Concrete School District (WA),0.0,2015-16,0.0,,,29.44
Concrete School District (WA),0.0,2016-17,0.0,,,33.39
Concrete School District (WA),0.0,2017-18,0.0,,,32.66
Concrete School District (WA),0.0,2018-19,0.0,,,33.4
Concrete School District (WA),0.0,2019-20,0.0,,,31.36
Concrete School District (WA),0.0,2020-21,0.0,,,32.43
Concrete School District (WA),0.0,2021-22,0.0,,,32.15
Concrete School District (WA),0.0,2022-23,0.0,,,36.0
Concrete School District (WA),0.0,2023-24,,,,34.64
Concrete School District (WA),0.0,2024-25,,,,32.63
Conway School District (WA),0.0,2015-16,0.0,,,23.32
Conway School District (WA),0.0,2016-17,0.0,,,23.34
Conway School District (WA),0.0,2017-18,0.0,,,24.74
Conway School District (WA),0.0,2018-19,0.0,,,25.82
Conway School District (WA),0.0,2019-20,0.0,,,25.0
Conway School District (WA),0.0,2020-21,0.0,,,25.02
Conway School District (WA),0.0,2021-22,0.0,,,24.78
Conway School District (WA),0.0,2022-23,0.0,,,26.0
Conway School District (WA),0.0,2023-24,,,,24.59
Conway School District (WA),0.0,2024-25,,,,25.1
Cosmopolis School District (WA),0.0,2015-16,0.0,,,10.43
Cosmopolis School District (WA),0.0,2016-17,0.0,,,10.15
Cosmopolis School District (WA),0.0,2017-18,0.0,,,10.79
Cosmopolis School District (WA),0.0,2018-19,0.0,,,10.04
Cosmopolis School District (WA),0.0,2019-20,0.0,,,11.85
Cosmopolis School District (WA),0.0,2020-21,0.0,,,11.86
Cosmopolis School District (WA),0.0,2021-22,0.0,,,12.0
Cosmopolis School District (WA),0.0,2022-23,0.0,,,14.0
Cosmopolis School District (WA),0.0,2023-24,,,,14.81
Cosmopolis School District (WA),0.0,2024-25,,,,10.6
Coulee-Hartline School District (WA),0.0,2015-16,0.0,,,15.38
Coulee-Hartline School District (WA),0.0,2016-17,0.0,,,14.72
Coulee-Hartline School District (WA),0.0,2017-18,0.0,,,14.93
Coulee-Hartline School District (WA),0.0,2018-19,0.0,,,15.1
Coulee-Hartline School District (WA),0.0,2019-20,0.0,,,14.95
Coulee-Hartline School District (WA),0.0,2020-21,0.0,,,14.73
Coulee-Hartline School District (WA),0.0,2021-22,0.0,,,17.29
Coulee-Hartline School District (WA),0.0,2022-23,0.0,,,17.0
Coulee-Hartline School District (WA),0.0,2023-24,,,,14.44
Coulee-Hartline School District (WA),0.0,2024-25,,,,13.87
Coupeville School District (WA),0.0,2015-16,-0.14,-949.0,-54.0,53.86
Coupeville School District (WA),0.0,2016-17,0.0,,,56.93
Coupeville School District (WA),0.0,2017-18,0.0,,,56.84
Coupeville School District (WA),0.0,2018-19,0.0,,,60.28
Coupeville School District (WA),0.0,2019-20,0.0,,,59.33
Coupeville School District (WA),0.0,2020-21,0.0,,,55.62
Coupeville School District (WA),0.0,2021-22,0.0,,,64.52
Coupeville School District (WA),0.0,2022-23,0.0,,,58.0
Coupeville School District (WA),0.0,2023-24,,,,56.56
Coupeville School District (WA),0.0,2024-25,,,,50.49
Crescent School District (WA),0.0,2015-16,-0.5,-272.0,-20.0,20.41
Crescent School District (WA),0.2,2016-17,0.1,1510.0,108.0,21.51
Crescent School District (WA),0.13,2017-18,0.07,2362.0,156.0,20.24
Crescent School District (WA),0.29,2018-19,0.15,1176.0,72.0,21.02
Crescent School District (WA),0.4,2019-20,0.2,915.0,52.0,20.65
Crescent School District (WA),0.4,2020-21,0.2,820.0,53.0,21.21
Crescent School District (WA),0.4,2021-22,0.2,765.0,54.0,21.53
Crescent School District (WA),0.2,2022-23,0.1,1680.0,105.0,21.0
Crescent School District (WA),0.2,2023-24,0.1,1795.0,107.0,21.39
Crescent School District (WA),0.2,2024-25,0.1,1860.0,110.0,22.0
Creston School District (WA),0.0,2015-16,0.0,,,13.01
Creston School District (WA),0.0,2016-17,0.0,,,12.5
Creston School District (WA),0.0,2017-18,0.0,,,11.49
Creston School District (WA),0.0,2018-19,0.0,,,10.38
Creston School District (WA),0.0,2019-20,0.0,,,10.42
Creston School District (WA),0.0,2020-21,0.0,,,9.55
Creston School District (WA),0.0,2021-22,0.0,,,9.22
Creston School District (WA),0.0,2022-23,0.0,,,10.0
Creston School District (WA),0.0,2023-24,,,,9.01
Creston School District (WA),0.0,2024-25,,,,11.0
Curlew School District (WA),0.0,2015-16,0.0,,,16.12
Curlew School District (WA),0.0,2016-17,0.0,,,13.59
Curlew School District (WA),0.0,2017-18,0.0,,,13.99
Curlew School District (WA),0.0,2018-19,0.0,,,14.52
Curlew School District (WA),0.0,2019-20,0.0,,,15.51
Curlew School District (WA),0.0,2020-21,0.0,,,17.07
Curlew School District (WA),0.0,2021-22,0.0,,,19.49
Curlew School District (WA),0.0,2022-23,0.0,,,17.0
Curlew School District (WA),0.0,2023-24,,,,18.83
Curlew School District (WA),0.0,2024-25,,,,18.28
Cusick School District (WA),0.0,2015-16,0.0,,,18.02
Cusick School District (WA),0.0,2016-17,0.0,,,16.47
Cusick School District (WA),0.0,2017-18,0.0,,,15.94
Cusick School District (WA),0.0,2018-19,0.0,,,18.58
Cusick School District (WA),0.0,2019-20,0.0,,,20.2
Cusick School District (WA),0.0,2020-21,0.0,,,20.68
Cusick School District (WA),0.0,2021-22,0.0,,,24.33
Cusick School District (WA),0.0,2022-23,0.0,,,24.0
Cusick School District (WA),0.0,2023-24,,,,26.88
Cusick School District (WA),0.0,2024-25,,,,26.01
Damman School District (WA),0.0,2015-16,0.0,,,2.0
Damman School District (WA),0.0,2016-17,0.0,,,2.0
Damman School District (WA),0.0,2017-18,0.0,,,2.5
Damman School District (WA),0.0,2018-19,0.0,,,2.5
Damman School District (WA),0.0,2019-20,0.0,,,2.49
Damman School District (WA),0.0,2020-21,0.0,,,2.49
Damman School District (WA),0.0,2021-22,0.0,,,2.0
Damman School District (WA),0.0,2022-23,0.0,,,2.0
Damman School District (WA),0.0,2023-24,,,,2.0
Damman School District (WA),0.0,2024-25,,,,2.0
Darrington School District (WA),0.0,2015-16,0.0,,,29.02
Darrington School District (WA),0.0,2016-17,0.0,,,26.69
Darrington School District (WA),0.0,2017-18,0.0,,,24.84
Darrington School District (WA),0.0,2018-19,0.0,,,23.58
Darrington School District (WA),0.0,2019-20,0.0,,,25.0
Darrington School District (WA),0.0,2020-21,0.0,,,23.0
Darrington School District (WA),0.0,2021-22,0.0,,,28.43
Darrington School District (WA),0.0,2022-23,0.0,,,29.0
Darrington School District (WA),0.0,2023-24,,,,31.25
Darrington School District (WA),0.0,2024-25,,,,32.0
Davenport School District (WA),0.0,2015-16,0.0,,,36.96
Davenport School District (WA),0.0,2016-17,0.0,,,37.64
Davenport School District (WA),0.0,2017-18,0.0,,,37.97
Davenport School District (WA),0.0,2018-19,0.0,,,36.98
Davenport School District (WA),0.0,2019-20,0.0,,,36.89
Davenport School District (WA),0.0,2020-21,0.0,,,34.41
Davenport School District (WA),0.0,2021-22,0.0,,,39.38
Davenport School District (WA),0.0,2022-23,0.0,,,41.0
Davenport School District (WA),0.0,2023-24,,,,41.98
Davenport School District (WA),0.0,2024-25,,,,38.03
Dayton School District (WA),0.0,2015-16,0.0,,,29.51
Dayton School District (WA),0.0,2016-17,0.0,,,29.55
Dayton School District (WA),0.0,2017-18,0.0,,,30.03
Dayton School District (WA),0.0,2018-19,0.0,,,32.02
Dayton School District (WA),0.0,2019-20,0.0,,,31.04
Dayton School District (WA),0.0,2020-21,0.0,,,30.0
Dayton School District (WA),0.0,2021-22,0.0,,,29.77
Dayton School District (WA),0.0,2022-23,0.0,,,31.0
Dayton School District (WA),0.0,2023-24,,,,28.45
Dayton School District (WA),0.0,2024-25,,,,27.93
Deer Park School District (WA),2.0,2015-16,0.29,1250.0,64.0,127.75
Deer Park School District (WA),1.0,2016-17,0.14,2518.0,133.0,132.67
Deer Park School District (WA),1.0,2017-18,0.14,2514.0,135.0,134.81
Deer Park School District (WA),1.0,2018-19,0.14,2634.0,135.0,135.42
Deer Park School District (WA),0.0,2019-20,0.0,,,136.24
Deer Park School District (WA),0.0,2020-21,0.0,,,136.01
Deer Park School District (WA),0.0,2021-22,0.0,,,148.13
Deer Park School District (WA),0.0,2022-23,0.0,,,148.0
Deer Park School District (WA),1.5,2023-24,0.19,1851.0,102.0,152.62
Deer Park School District (WA),2.47,2024-25,0.31,1127.0,59.0,145.99
Dieringer School District (WA),0.0,2015-16,0.0,,,78.59
Dieringer School District (WA),0.0,2016-17,0.0,,,77.79
Dieringer School District (WA),0.0,2017-18,0.0,,,81.65
Dieringer School District (WA),0.0,2018-19,0.0,,,79.7
Dieringer School District (WA),0.0,2019-20,0.0,,,84.7
Dieringer School District (WA),0.0,2020-21,0.0,,,82.13
Dieringer School District (WA),0.0,2021-22,0.0,,,77.08
Dieringer School District (WA),0.0,2022-23,0.0,,,84.0
Dieringer School District (WA),0.0,2023-24,,,,84.87
Dieringer School District (WA),0.0,2024-25,,,,82.92
Dixie School District (WA),0.0,2015-16,0.0,,,2.0
Dixie School District (WA),0.0,2016-17,0.0,,,2.0
Dixie School District (WA),0.0,2017-18,0.0,,,2.0
Dixie School District (WA),0.0,2018-19,0.0,,,2.0
Dixie School District (WA),0.0,2019-20,0.0,,,2.0
Dixie School District (WA),0.0,2020-21,0.0,,,2.0
Dixie School District (WA),0.0,2021-22,0.0,,,2.0
Dixie School District (WA),0.0,2022-23,0.0,,,1.0
Dixie School District (WA),0.0,2023-24,,,,2.0
Dixie School District (WA),0.0,2024-25,,,,2.0
East Valley School District (Spokane) (WA),1.0,2015-16,0.11,4311.0,236.0,236.48
East Valley School District (Spokane) (WA),1.0,2016-17,0.1,4262.0,240.0,240.11
East Valley School District (Spokane) (WA),1.0,2017-18,0.1,4266.0,236.0,235.56
East Valley School District (Spokane) (WA),1.0,2018-19,0.1,4277.0,230.0,229.7
East Valley School District (Spokane) (WA),1.01,2019-20,0.1,4191.0,225.0,227.1
East Valley School District (Spokane) (WA),1.01,2020-21,0.11,3700.0,215.0,217.58
East Valley School District (Spokane) (WA),1.0,2021-22,0.11,3666.0,209.0,209.02
East Valley School District (Spokane) (WA),1.0,2022-23,0.11,3670.0,215.0,215.0
East Valley School District (Spokane) (WA),1.0,2023-24,0.11,3594.0,203.0,203.01
East Valley School District (Spokane) (WA),0.0,2024-25,,,,205.17
East Valley School District (Yakima) (WA),0.2,2015-16,0.04,15685.0,861.0,172.27
East Valley School District (Yakima) (WA),0.2,2016-17,0.04,16130.0,872.0,174.47
East Valley School District (Yakima) (WA),0.0,2017-18,0.0,,,179.23
East Valley School District (Yakima) (WA),0.0,2018-19,0.0,,,181.7
East Valley School District (Yakima) (WA),0.0,2019-20,0.0,,,181.63
East Valley School District (Yakima) (WA),0.0,2020-21,0.0,,,178.26
East Valley School District (Yakima) (WA),0.0,2021-22,0.0,,,180.97
East Valley School District (Yakima) (WA),0.0,2022-23,0.0,,,183.0
East Valley School District (Yakima) (WA),0.0,2023-24,,,,184.4
East Valley School District (Yakima) (WA),0.0,2024-25,,,,174.13
Eastmont School District (WA),5.57,2015-16,0.46,1071.0,58.0,321.74
Eastmont School District (WA),5.4,2016-17,0.45,1130.0,58.0,314.37
Eastmont School District (WA),5.2,2017-18,0.43,1198.0,64.0,333.35
Eastmont School District (WA),5.2,2018-19,0.47,1215.0,66.0,341.65
Eastmont School District (WA),3.5,2019-20,0.32,1802.0,99.0,345.1
Eastmont School District (WA),3.38,2020-21,0.31,1788.0,100.0,339.1
Eastmont School District (WA),2.7,2021-22,0.23,2209.0,132.0,357.23
Eastmont School District (WA),2.7,2022-23,0.23,2234.0,134.0,361.0
Eastmont School District (WA),2.5,2023-24,0.21,2436.0,141.0,353.65
Eastmont School District (WA),2.0,2024-25,0.17,2965.0,166.0,331.41
Easton School District (WA),0.0,2015-16,0.0,,,11.0
Easton School District (WA),0.0,2016-17,0.0,,,11.63
Easton School District (WA),0.0,2017-18,0.0,,,10.07
Easton School District (WA),0.0,2018-19,0.0,,,13.03
Easton School District (WA),0.0,2019-20,0.0,,,13.04
Easton School District (WA),0.0,2020-21,0.0,,,9.3
Easton School District (WA),0.0,2021-22,0.0,,,10.21
Easton School District (WA),0.0,2022-23,0.0,,,9.0
Easton School District (WA),0.0,2023-24,,,,9.5
Easton School District (WA),0.0,2024-25,,,,9.0
Eatonville School District (WA),2.0,2015-16,0.25,975.0,49.0,98.29
Eatonville School District (WA),1.0,2016-17,0.13,1961.0,98.0,97.51
Eatonville School District (WA),1.0,2017-18,0.13,1926.0,100.0,100.26
Eatonville School District (WA),1.0,2018-19,0.11,1979.0,103.0,103.02
Eatonville School District (WA),1.0,2019-20,0.11,2059.0,98.0,98.09
Eatonville School District (WA),0.0,2020-21,0.0,,,105.75
Eatonville School District (WA),0.0,2021-22,0.0,,,97.68
Eatonville School District (WA),0.0,2022-23,0.0,,,112.0
Eatonville School District (WA),0.0,2023-24,,,,114.61
Eatonville School District (WA),0.0,2024-25,,,,108.58
Edmonds School District (WA),30.43,2015-16,0.78,691.0,34.0,1047.38
Edmonds School District (WA),31.69,2016-17,0.81,671.0,34.0,1064.31
Edmonds School District (WA),32.8,2017-18,0.86,647.0,33.0,1075.14
Edmonds School District (WA),31.6,2018-19,0.83,674.0,36.0,1134.29
Edmonds School District (WA),8.01,2019-20,0.21,2712.0,142.0,1134.73
Edmonds School District (WA),9.0,2020-21,0.24,2317.0,128.0,1151.76
Edmonds School District (WA),10.3,2021-22,0.26,1975.0,109.0,1119.78
Edmonds School District (WA),9.2,2022-23,0.24,2224.0,128.0,1173.0
Edmonds School District (WA),9.0,2023-24,0.24,2306.0,125.0,1129.4
Edmonds School District (WA),10.0,2024-25,0.26,2096.0,112.0,1123.37
Ellensburg School District (WA),4.8,2015-16,0.69,679.0,34.0,165.41
Ellensburg School District (WA),4.8,2016-17,0.69,698.0,35.0,170.33
Ellensburg School District (WA),4.8,2017-18,0.69,706.0,38.0,184.44
Ellensburg School District (WA),2.3,2018-19,0.33,1456.0,84.0,192.52
Ellensburg School District (WA),2.3,2019-20,0.33,1500.0,84.0,192.87
Ellensburg School District (WA),1.5,2020-21,0.21,2133.0,126.0,189.7
Ellensburg School District (WA),1.91,2021-22,0.27,1714.0,98.0,188.05
Ellensburg School District (WA),0.0,2022-23,0.0,,,191.0
Ellensburg School District (WA),0.0,2023-24,,,,183.79
Ellensburg School District (WA),0.0,2024-25,,,,185.99
Elma School District (WA),0.0,2015-16,0.0,,,78.74
Elma School District (WA),0.0,2016-17,0.0,,,81.23
Elma School District (WA),0.0,2017-18,0.0,,,82.63
Elma School District (WA),0.0,2018-19,0.0,,,85.21
Elma School District (WA),0.0,2019-20,0.0,,,88.32
Elma School District (WA),0.0,2020-21,0.0,,,90.81
Elma School District (WA),0.0,2021-22,0.0,,,84.7
Elma School District (WA),0.0,2022-23,0.0,,,92.0
Elma School District (WA),0.0,2023-24,,,,92.76
Elma School District (WA),0.0,2024-25,,,,91.0
Endicott School District (WA),0.0,2015-16,0.0,,,9.28
Endicott School District (WA),0.0,2016-17,0.0,,,11.75
Endicott School District (WA),0.0,2017-18,0.0,,,11.73
Endicott School District (WA),0.0,2018-19,0.0,,,11.3
Endicott School District (WA),0.0,2019-20,0.0,,,12.3
Endicott School District (WA),0.0,2020-21,0.0,,,11.81
Endicott School District (WA),0.0,2021-22,0.0,,,12.3
Endicott School District (WA),0.0,2022-23,0.0,,,12.0
Endicott School District (WA),0.0,2023-24,,,,11.71
Endicott School District (WA),0.0,2024-25,,,,12.01
Entiat School District (WA),0.0,2015-16,0.0,,,22.78
Entiat School District (WA),0.0,2016-17,0.0,,,21.74
Entiat School District (WA),0.0,2017-18,0.0,,,22.93
Entiat School District (WA),0.0,2018-19,0.0,,,20.97
Entiat School District (WA),0.0,2019-20,0.0,,,22.31
Entiat School District (WA),0.0,2020-21,0.0,,,22.06
Entiat School District (WA),0.0,2021-22,0.0,,,23.74
Entiat School District (WA),0.0,2022-23,0.0,,,25.0
Entiat School District (WA),0.0,2023-24,,,,27.0
Entiat School District (WA),0.0,2024-25,,,,29.0
Enumclaw School District (WA),4.1,2015-16,0.46,995.0,51.0,210.31
Enumclaw School District (WA),4.62,2016-17,0.51,878.0,46.0,214.21
Enumclaw School District (WA),4.92,2017-18,0.49,837.0,43.0,210.7
Enumclaw School District (WA),2.1,2018-19,0.21,1992.0,103.0,215.84
Enumclaw School District (WA),1.3,2019-20,0.13,3328.0,175.0,227.32
Enumclaw School District (WA),2.0,2020-21,0.2,2061.0,117.0,233.82
Enumclaw School District (WA),2.0,2021-22,0.2,2121.0,115.0,229.08
Enumclaw School District (WA),2.0,2022-23,0.2,2218.0,121.0,241.0
Enumclaw School District (WA),1.0,2023-24,0.1,4550.0,246.0,245.51
Enumclaw School District (WA),0.7,2024-25,0.08,6489.0,341.0,239.01
Ephrata School District (WA),1.0,2015-16,0.13,2414.0,127.0,127.32
Ephrata School District (WA),1.0,2016-17,0.13,2500.0,138.0,138.35
Ephrata School District (WA),1.0,2017-18,0.11,2602.0,141.0,141.26
Ephrata School District (WA),1.0,2018-19,0.14,2623.0,144.0,144.36
Ephrata School District (WA),1.0,2019-20,0.13,2738.0,142.0,142.11
Ephrata School District (WA),1.0,2020-21,0.13,2578.0,142.0,142.28
Ephrata School District (WA),1.0,2021-22,0.13,2701.0,138.0,137.51
Ephrata School District (WA),1.0,2022-23,0.13,2807.0,149.0,149.0
Ephrata School District (WA),1.0,2023-24,0.13,2853.0,151.0,151.01
Ephrata School District (WA),1.0,2024-25,0.13,2833.0,153.0,153.09
Evaline School District (WA),0.0,2015-16,0.0,,,2.38
Evaline School District (WA),0.0,2016-17,0.0,,,2.46
Evaline School District (WA),0.0,2017-18,0.0,,,2.96
Evaline School District (WA),0.0,2018-19,0.0,,,3.85
Evaline School District (WA),0.0,2019-20,0.0,,,4.88
Evaline School District (WA),0.0,2020-21,0.0,,,5.37
Evaline School District (WA),0.0,2021-22,0.0,,,5.0
Evaline School District (WA),0.0,2022-23,0.0,,,6.0
Evaline School District (WA),0.0,2023-24,,,,4.74
Evaline School District (WA),0.0,2024-25,,,,4.38
Everett School District (WA),25.17,2015-16,0.79,792.0,38.0,958.3
Everett School District (WA),24.49,2016-17,0.77,826.0,41.0,1002.18
Everett School District (WA),24.0,2017-18,0.75,852.0,43.0,1043.75
Everett School District (WA),17.52,2018-19,0.55,1191.0,63.0,1105.62
Everett School District (WA),19.03,2019-20,0.58,1112.0,58.0,1103.97
Everett School District (WA),16.43,2020-21,0.5,1231.0,67.0,1103.46
Everett School District (WA),16.38,2021-22,0.5,1237.0,62.0,1015.32
Everett School District (WA),17.39,2022-23,0.53,1171.0,63.0,1102.0
Everett School District (WA),12.5,2023-24,0.38,1625.0,85.0,1058.69
Everett School District (WA),12.25,2024-25,0.37,1673.0,88.0,1073.71
Evergreen School District (Clark) (WA),31.71,2015-16,0.83,820.0,46.0,1448.5
Evergreen School District (Clark) (WA),31.67,2016-17,0.81,828.0,46.0,1465.43
Evergreen School District (Clark) (WA),32.19,2017-18,0.85,797.0,46.0,1474.17
Evergreen School District (Clark) (WA),32.66,2018-19,0.84,779.0,47.0,1528.96
Evergreen School District (Clark) (WA),18.05,2019-20,0.46,1386.0,83.0,1500.7
Evergreen School District (Clark) (WA),18.7,2020-21,0.48,1260.0,78.0,1450.2
Evergreen School District (Clark) (WA),18.74,2021-22,0.48,1219.0,71.0,1326.59
Evergreen School District (Clark) (WA),21.98,2022-23,0.56,1028.0,61.0,1348.0
Evergreen School District (Clark) (WA),8.39,2023-24,0.22,2628.0,156.0,1311.71
Evergreen School District (Clark) (WA),0.0,2024-25,,,,1270.53
Evergreen School District (Stevens) (WA),0.0,2015-16,0.0,,,2.0
Evergreen School District (Stevens) (WA),0.0,2016-17,0.0,,,2.0
Evergreen School District (Stevens) (WA),0.0,2017-18,0.0,,,2.32
Evergreen School District (Stevens) (WA),0.0,2018-19,0.0,,,2.39
Evergreen School District (Stevens) (WA),0.0,2019-20,0.0,,,2.78
Evergreen School District (Stevens) (WA),0.0,2020-21,0.0,,,2.24
Evergreen School District (Stevens) (WA),0.0,2021-22,0.0,,,2.6
Evergreen School District (Stevens) (WA),0.0,2022-23,0.0,,,3.0
Evergreen School District (Stevens) (WA),0.0,2023-24,,,,2.71
Evergreen School District (Stevens) (WA),0.0,2024-25,,,,2.7
Federal Way School District (WA),11.5,2015-16,0.24,2003.0,108.0,1240.66
Federal Way School District (WA),13.47,2016-17,0.29,1711.0,94.0,1270.99
Federal Way School District (WA),13.36,2017-18,0.29,1730.0,96.0,1276.09
Federal Way School District (WA),14.15,2018-19,0.31,1660.0,91.0,1284.25
Federal Way School District (WA),14.51,2019-20,0.32,1605.0,88.0,1277.73
Federal Way School District (WA),14.29,2020-21,0.31,1523.0,87.0,1240.35
Federal Way School District (WA),14.36,2021-22,0.31,1472.0,75.0,1073.29
Federal Way School District (WA),13.36,2022-23,0.29,1617.0,89.0,1184.0
Federal Way School District (WA),15.19,2023-24,0.33,1436.0,80.0,1210.15
Federal Way School District (WA),15.19,2024-25,0.33,1465.0,80.0,1216.68
Ferndale School District (WA),0.0,2015-16,0.0,,,253.22
Ferndale School District (WA),0.0,2016-17,0.0,,,249.35
Ferndale School District (WA),0.0,2017-18,0.0,,,251.3
Ferndale School District (WA),0.0,2018-19,0.0,,,251.28
Ferndale School District (WA),0.0,2019-20,0.0,,,264.35
Ferndale School District (WA),0.0,2020-21,0.0,,,243.66
Ferndale School District (WA),0.0,2021-22,0.0,,,282.86
Ferndale School District (WA),0.0,2022-23,0.0,,,289.0
Ferndale School District (WA),0.0,2023-24,,,,301.08
Ferndale School District (WA),0.0,2024-25,,,,265.58
Fife School District (WA),3.5,2015-16,0.58,1055.0,54.0,190.02
Fife School District (WA),4.01,2016-17,0.67,927.0,49.0,196.72
Fife School District (WA),4.0,2017-18,0.67,960.0,50.0,201.22
Fife School District (WA),4.0,2018-19,0.67,961.0,52.0,206.67
Fife School District (WA),4.0,2019-20,0.57,977.0,52.0,208.36
Fife School District (WA),4.5,2020-21,0.64,840.0,46.0,206.12
Fife School District (WA),5.5,2021-22,0.79,689.0,36.0,200.18
Fife School District (WA),5.5,2022-23,0.79,708.0,38.0,209.0
Fife School District (WA),3.5,2023-24,0.5,1119.0,61.0,214.06
Fife School District (WA),3.11,2024-25,0.44,1281.0,67.0,208.1
Finley School District (WA),2.0,2015-16,0.67,456.0,27.0,54.19
Finley School District (WA),2.0,2016-17,0.67,465.0,27.0,53.61
Finley School District (WA),2.0,2017-18,0.67,461.0,27.0,53.61
Finley School District (WA),1.0,2018-19,0.33,885.0,53.0,52.58
Finley School District (WA),1.0,2019-20,0.33,914.0,54.0,53.6
Finley School District (WA),1.0,2020-21,0.33,875.0,50.0,49.6
Finley School District (WA),1.0,2021-22,0.33,880.0,52.0,51.6
Finley School District (WA),1.0,2022-23,0.33,871.0,50.0,50.0
Finley School District (WA),0.0,2023-24,,,,52.6
Finley School District (WA),0.0,2024-25,,,,50.6
Franklin Pierce School District (WA),9.0,2015-16,0.6,860.0,49.0,436.87
Franklin Pierce School District (WA),9.0,2016-17,0.6,869.0,49.0,442.56
Franklin Pierce School District (WA),9.0,2017-18,0.6,874.0,50.0,445.98
Franklin Pierce School District (WA),9.0,2018-19,0.6,899.0,51.0,457.86
Franklin Pierce School District (WA),9.0,2019-20,0.6,899.0,52.0,467.61
Franklin Pierce School District (WA),8.0,2020-21,0.53,949.0,57.0,457.77
Franklin Pierce School District (WA),7.0,2021-22,0.47,1078.0,63.0,438.63
Franklin Pierce School District (WA),7.0,2022-23,0.47,1061.0,68.0,473.0
Franklin Pierce School District (WA),8.0,2023-24,0.53,912.0,59.0,471.77
Franklin Pierce School District (WA),8.0,2024-25,0.57,898.0,56.0,444.06
Freeman School District (WA),0.0,2015-16,0.0,,,47.69
Freeman School District (WA),0.0,2016-17,0.0,,,48.57
Freeman School District (WA),0.0,2017-18,0.0,,,50.11
Freeman School District (WA),0.0,2018-19,0.0,,,53.33
Freeman School District (WA),0.0,2019-20,0.0,,,51.94
Freeman School District (WA),0.0,2020-21,0.0,,,52.34
Freeman School District (WA),0.0,2021-22,0.0,,,55.92
Freeman School District (WA),0.0,2022-23,0.0,,,55.0
Freeman School District (WA),0.0,2023-24,,,,55.06
Freeman School District (WA),0.0,2024-25,,,,49.79
Garfield School District (WA),0.5,2015-16,0.17,232.0,24.0,12.06
Garfield School District (WA),0.5,2016-17,0.17,232.0,22.0,11.18
Garfield School District (WA),0.0,2017-18,0.0,,,12.46
Garfield School District (WA),0.0,2018-19,0.0,,,11.5
Garfield School District (WA),0.0,2019-20,0.0,,,12.0
Garfield School District (WA),0.0,2020-21,0.0,,,11.97
Garfield School District (WA),0.0,2021-22,0.0,,,11.85
Garfield School District (WA),0.0,2022-23,0.0,,,12.0
Garfield School District (WA),0.0,2023-24,,,,11.85
Garfield School District (WA),0.0,2024-25,,,,11.69
Glenwood School District (WA),0.0,2015-16,0.0,,,9.0
Glenwood School District (WA),0.0,2016-17,0.0,,,9.3
Glenwood School District (WA),0.0,2017-18,0.0,,,9.3
Glenwood School District (WA),0.0,2018-19,0.0,,,10.25
Glenwood School District (WA),0.0,2019-20,0.0,,,9.25
Glenwood School District (WA),0.0,2020-21,0.0,,,9.66
Glenwood School District (WA),0.0,2021-22,0.0,,,9.26
Glenwood School District (WA),0.0,2022-23,0.0,,,9.0
Glenwood School District (WA),0.0,2023-24,,,,10.28
Glenwood School District (WA),0.0,2024-25,,,,9.04
Goldendale School District (WA),0.17,2015-16,0.04,5553.0,311.0,52.89
Goldendale School District (WA),0.17,2016-17,0.04,5547.0,321.0,54.57
Goldendale School District (WA),0.17,2017-18,0.04,5747.0,317.0,53.95
Goldendale School District (WA),0.17,2018-19,0.04,5424.0,311.0,52.9
Goldendale School District (WA),0.17,2019-20,0.04,5529.0,286.0,48.63
Goldendale School District (WA),0.17,2020-21,0.03,12847.0,274.0,46.53
Goldendale School District (WA),0.17,2021-22,0.03,13406.0,535.0,90.97
Goldendale School District (WA),0.17,2022-23,0.03,17506.0,759.0,129.0
