district,librarian_fte,year,librarians_per_school,students_per_librarian,teachers_per_librarian,teacher_fte
Bellevue School District (WA),28.22,2018-19,0.91,766.0,40.0,1126.06
Bellevue School District (WA),22.75,2019-20,0.73,953.0,52.0,1172.36
Bellevue School District (WA),13.33,2020-21,0.43,1515.0,87.0,1157.6
Bellevue School District (WA),18.48,2021-22,0.6,1056.0,56.0,1035.69
Bellevue School District (WA),17.6,2022-23,0.55,1085.0,60.0,1058.0
Bellevue School District (WA),0.0,2023-24,,,,1115.22
Bellevue School District (WA),0.0,2024-25,,,,1145.22
Bellingham School District (WA),19.5,2015-16,0.75,580.0,31.0,598.2
Bellingham School District (WA),19.2,2016-17,0.74,600.0,32.0,607.81
Bellingham School District (WA),19.4,2017-18,0.78,605.0,33.0,643.91
Bellingham School District (WA),20.89,2018-19,0.84,570.0,32.0,663.34
Bellingham School District (WA),12.0,2019-20,0.48,1002.0,56.0,668.14
Bellingham School District (WA),12.1,2020-21,0.48,949.0,56.0,675.55
Bellingham School District (WA),19.61,2021-22,0.78,583.0,34.0,659.71
Bellingham School District (WA),20.1,2022-23,0.8,578.0,35.0,705.0
Bellingham School District (WA),13.12,2023-24,0.52,876.0,51.0,671.46
Bellingham School District (WA),9.14,2024-25,0.37,1240.0,71.0,651.58
Benge School District (WA),0.0,2015-16,0.0,,,1.96
Benge School District (WA),0.0,2016-17,0.0,,,1.96
Benge School District (WA),0.0,2017-18,0.0,,,2.0
Benge School District (WA),0.0,2018-19,0.0,,,1.99
Benge School District (WA),0.0,2019-20,0.0,,,2.0
Benge School District (WA),0.0,2020-21,0.0,,,1.0
Benge School District (WA),0.0,2021-22,0.0,,,2.0
Benge School District (WA),0.0,2022-23,0.0,,,2.0
Benge School District (WA),0.0,2023-24,,,,2.0
Benge School District (WA),0.0,2024-25,,,,2.0
Bethel School District (WA),17.2,2015-16,0.44,1101.0,57.0,972.33
Bethel School District (WA),17.69,2016-17,0.47,1087.0,56.0,984.94
Bethel School District (WA),17.43,2017-18,0.54,1134.0,58.0,1011.77
Bethel School District (WA),17.17,2018-19,0.54,1172.0,62.0,1063.39
Bethel School District (WA),18.2,2019-20,0.59,1133.0,61.0,1118.97
Bethel School District (WA),18.28,2020-21,0.57,1098.0,63.0,1148.83
Bethel School District (WA),18.9,2021-22,0.56,1094.0,59.0,1117.28
Bethel School District (WA),12.19,2022-23,0.36,1736.0,94.0,1140.0
Bethel School District (WA),12.4,2023-24,0.32,1737.0,93.0,1148.96
Bethel School District (WA),12.5,2024-25,0.35,1716.0,93.0,1160.66
Bickleton School District (WA),0.0,2015-16,0.0,,,10.87
Bickleton School District (WA),0.0,2016-17,0.0,,,11.26
Bickleton School District (WA),0.0,2017-18,0.0,,,11.99
Bickleton School District (WA),0.0,2018-19,0.0,,,13.01
Bickleton School District (WA),0.0,2019-20,0.0,,,12.7
Bickleton School District (WA),0.0,2020-21,0.0,,,12.02
Bickleton School District (WA),0.0,2021-22,0.0,,,12.0
Bickleton School District (WA),0.0,2022-23,0.0,,,12.0
Bickleton School District (WA),0.0,2023-24,,,,12.7
Bickleton School District (WA),0.0,2024-25,,,,13.0
Blaine School District (WA),2.8,2015-16,0.47,798.0,41.0,114.85
Blaine School District (WA),3.0,2016-17,0.43,752.0,40.0,120.0
Blaine School District (WA),3.0,2017-18,0.43,750.0,41.0,121.89
Blaine School District (WA),2.0,2018-19,0.29,1150.0,63.0,126.79
Blaine School District (WA),1.0,2019-20,0.14,2290.0,129.0,129.25
Blaine School District (WA),1.0,2020-21,0.14,2164.0,127.0,127.19
Blaine School District (WA),1.0,2021-22,0.14,2145.0,118.0,117.82
Blaine School District (WA),1.0,2022-23,0.14,2081.0,131.0,131.0
Blaine School District (WA),0.0,2023-24,,,,116.59
Blaine School District (WA),0.0,2024-25,,,,103.63
Boistfort School District (WA),0.0,2015-16,0.0,,,6.0
Boistfort School District (WA),0.0,2016-17,0.0,,,6.0
Boistfort School District (WA),0.0,2017-18,0.0,,,4.0
Boistfort School District (WA),0.0,2018-19,0.0,,,6.17
Boistfort School District (WA),0.0,2019-20,0.0,,,6.0
Boistfort School District (WA),0.0,2020-21,0.0,,,8.06
Boistfort School District (WA),0.0,2021-22,0.0,,,6.0
Boistfort School District (WA),0.0,2022-23,0.0,,,4.0
Boistfort School District (WA),0.0,2023-24,,,,6.0
Boistfort School District (WA),0.0,2024-25,,,,5.57
Bremerton School District (WA),5.75,2015-16,0.41,902.0,55.0,319.0
Bremerton School District (WA),5.74,2016-17,0.41,895.0,57.0,324.37
Bremerton School District (WA),5.74,2017-18,0.41,882.0,55.0,318.15
Bremerton School District (WA),5.85,2018-19,0.42,857.0,56.0,325.93
Bremerton School District (WA),5.0,2019-20,0.36,991.0,64.0,318.78
Bremerton School District (WA),1.01,2020-21,0.07,4491.0,302.0,305.27
Bremerton School District (WA),1.0,2021-22,0.07,4404.0,288.0,287.88
Bremerton School District (WA),1.0,2022-23,0.08,4383.0,303.0,303.0
Bremerton School District (WA),1.0,2023-24,0.08,4367.0,280.0,279.89
Bremerton School District (WA),1.0,2024-25,0.08,4383.0,280.0,280.03
Brewster School District (WA),0.75,2015-16,0.19,1329.0,80.0,59.88
Brewster School District (WA),0.7,2016-17,0.18,1376.0,86.0,59.96
Brewster School District (WA),0.0,2017-18,0.0,,,55.25
Brewster School District (WA),0.0,2018-19,0.0,,,55.15
Brewster School District (WA),0.0,2019-20,0.0,,,58.25
Brewster School District (WA),0.0,2020-21,0.0,,,52.14
Brewster School District (WA),0.0,2021-22,0.0,,,57.58
Brewster School District (WA),0.0,2022-23,0.0,,,58.0
Brewster School District (WA),0.0,2023-24,,,,59.92
Brewster School District (WA),0.0,2024-25,,,,58.87
Bridgeport School District (WA),0.0,2015-16,0.0,,,51.01
Bridgeport School District (WA),0.0,2016-17,0.0,,,57.79
Bridgeport School District (WA),0.0,2017-18,0.0,,,51.84
Bridgeport School District (WA),0.0,2018-19,0.0,,,55.48
Bridgeport School District (WA),0.0,2019-20,0.0,,,55.12
Bridgeport School District (WA),0.0,2020-21,0.0,,,44.1
Bridgeport School District (WA),0.0,2021-22,0.0,,,46.23
Bridgeport School District (WA),0.0,2022-23,0.0,,,50.0
Bridgeport School District (WA),0.0,2023-24,,,,48.26
Bridgeport School District (WA),0.0,2024-25,,,,45.0
Brinnon School District (WA),0.0,2015-16,0.0,,,4.1
Brinnon School District (WA),0.0,2016-17,0.0,,,4.12
Brinnon School District (WA),0.0,2017-18,0.0,,,4.3
Brinnon School District (WA),0.0,2018-19,0.0,,,5.34
Brinnon School District (WA),0.0,2019-20,0.0,,,5.33
Brinnon School District (WA),0.0,2020-21,0.0,,,5.32
Brinnon School District (WA),0.0,2021-22,0.0,,,6.13
Brinnon School District (WA),0.0,2022-23,0.0,,,6.0
Brinnon School District (WA),0.0,2023-24,,,,5.69
Brinnon School District (WA),0.0,2024-25,,,,5.18
Burlington-Edison School District (WA),0.0,2015-16,-0.13,-3683.0,-208.0,208.31
Burlington-Edison School District (WA),0.0,2016-17,0.0,,,206.23
Burlington-Edison School District (WA),0.0,2017-18,0.0,,,205.59
Burlington-Edison School District (WA),0.0,2018-19,0.0,,,203.6
Burlington-Edison School District (WA),0.0,2019-20,0.0,,,209.5
Burlington-Edison School District (WA),0.0,2020-21,0.0,,,206.97
Burlington-Edison School District (WA),0.0,2021-22,0.0,,,192.0
Burlington-Edison School District (WA),0.0,2022-23,0.0,,,220.0
Burlington-Edison School District (WA),0.0,2023-24,,,,204.39
Burlington-Edison School District (WA),0.0,2024-25,,,,205.27
Camas School District (WA),8.59,2015-16,0.78,804.0,41.0,351.12
Camas School District (WA),8.6,2016-17,0.78,825.0,43.0,366.01
Camas School District (WA),8.6,2017-18,0.78,825.0,44.0,379.4
Camas School District (WA),9.0,2018-19,0.64,828.0,44.0,392.21
Camas School District (WA),9.4,2019-20,0.63,810.0,41.0,384.5
Camas School District (WA),9.4,2020-21,0.63,770.0,43.0,402.25
Camas School District (WA),9.6,2021-22,0.6,753.0,41.0,388.95
Camas School District (WA),9.6,2022-23,0.6,763.0,43.0,410.0
Camas School District (WA),9.5,2023-24,0.59,763.0,40.0,384.62
Camas School District (WA),9.5,2024-25,0.63,762.0,40.0,382.91
Cape Flattery School District (WA),0.0,2015-16,-0.25,-475.0,-39.0,39.19
Cape Flattery School District (WA),0.0,2016-17,0.0,,,36.53
Cape Flattery School District (WA),0.0,2017-18,0.0,,,39.51
Cape Flattery School District (WA),0.0,2018-19,0.0,,,38.51
Cape Flattery School District (WA),0.0,2019-20,0.0,,,38.32
Cape Flattery School District (WA),0.0,2020-21,0.0,,,38.92
Cape Flattery School District (WA),0.0,2021-22,0.0,,,42.32
Cape Flattery School District (WA),0.0,2022-23,0.0,,,40.0
Cape Flattery School District (WA),0.0,2023-24,,,,38.99
Cape Flattery School District (WA),0.0,2024-25,,,,39.88
Carbonado School District (WA),0.0,2015-16,0.0,,,11.5
Carbonado School District (WA),0.0,2016-17,0.0,,,12.11
Carbonado School District (WA),0.0,2017-18,0.0,,,12.51
Carbonado School District (WA),0.0,2018-19,0.0,,,12.51
