district,librarian_fte,year,librarians_per_school,students_per_librarian,teachers_per_librarian,teacher_fte,locale_code,locale_tier,ela_pct_met_grade4,ela_pct_met_grade8,ela_pct_foundational_grade4,ela_pct_foundational_grade8
Aberdeen School District (WA),1.0,2015-16,0.09,3288.0,195.0,194.9,33.0,Mid-size,47.3,46.4,,
Aberdeen School District (WA),1.0,2016-17,0.09,3408.0,204.0,204.19,33.0,Mid-size,44.7,40.4,,
Aberdeen School District (WA),1.0,2017-18,0.09,3435.0,208.0,207.68,33.0,Mid-size,45.8,37.9,,
Aberdeen School District (WA),1.0,2018-19,0.08,3534.0,210.0,210.36,33.0,Mid-size,40.4,39.2,,
Aberdeen School District (WA),0.0,2019-20,0.0,,,203.55,33.0,Mid-size,,,,
Aberdeen School District (WA),0.0,2020-21,0.0,,,163.9,33.0,Mid-size,37.0,32.2,,
Aberdeen School District (WA),0.0,2021-22,0.0,,,186.56,33.0,Mid-size,33.9,32.2,,
Aberdeen School District (WA),0.0,2022-23,0.0,,,204.0,33.0,Mid-size,32.0,32.2,,
Aberdeen School District (WA),0.0,2023-24,,,,182.37,33.0,Mid-size,32.5,28.8,50.0,60.7
Aberdeen School District (WA),0.0,2024-25,,,,170.8,33.0,Mid-size,30.2,31.7,55.3,57.0
Adna School District (WA),0.0,2015-16,0.0,,,34.5,42.0,Distant Rural,70.2,58.3,,
Adna School District (WA),0.0,2016-17,0.0,,,35.83,42.0,Distant Rural,76.2,75.0,,
Adna School District (WA),0.0,2017-18,0.0,,,36.37,42.0,Distant Rural,66.0,50.9,,
Adna School District (WA),0.0,2018-19,0.0,,,36.35,42.0,Distant Rural,58.8,71.8,,
Adna School District (WA),0.0,2019-20,0.0,,,36.21,42.0,Distant Rural,,,,
Adna School District (WA),0.0,2020-21,0.0,,,36.26,42.0,Distant Rural,52.3,50.0,,
Adna School District (WA),0.0,2021-22,0.0,,,33.67,42.0,Distant Rural,54.5,50.0,,
Adna School District (WA),0.0,2022-23,0.0,,,37.0,42.0,Distant Rural,56.4,31.6,,
Adna School District (WA),0.0,2023-24,,,,32.01,42.0,Distant Rural,56.3,25.0,83.3,61.5
Adna School District (WA),0.0,2024-25,,,,34.16,42.0,Distant Rural,65.8,46.9,86.8,83.7
Almira School District (WA),0.0,2015-16,0.0,,,9.5,43.0,Distant Rural,,57.9,,
Almira School District (WA),0.0,2016-17,0.0,,,11.01,43.0,Distant Rural,,66.7,,
Almira School District (WA),0.0,2017-18,0.0,,,9.84,43.0,Distant Rural,,,,
Almira School District (WA),0.0,2018-19,0.0,,,10.98,43.0,Distant Rural,,72.2,,
Almira School District (WA),0.0,2019-20,0.0,,,10.99,43.0,Distant Rural,,,,
Almira School District (WA),0.0,2020-21,0.0,,,11.0,43.0,Distant Rural,,,,
Almira School District (WA),0.0,2021-22,0.0,,,10.7,43.0,Distant Rural,,60.0,,
Almira School District (WA),0.0,2022-23,0.0,,,11.0,43.0,Distant Rural,57.1,62.1,,
Almira School District (WA),0.0,2023-24,,,,10.68,43.0,Distant Rural,60.0,52.2,90.0,69.6
Almira School District (WA),0.0,2024-25,,,,11.97,43.0,Distant Rural,,80.0,,90.0
Anacortes School District (WA),0.0,2015-16,0.0,,,134.25,31.0,Mid-size,69.7,74.5,,
Anacortes School District (WA),0.0,2016-17,0.0,,,145.61,31.0,Mid-size,69.4,74.2,,
Anacortes School District (WA),0.0,2017-18,0.0,,,151.27,31.0,Mid-size,71.8,65.9,,
Anacortes School District (WA),0.0,2018-19,0.0,,,151.13,31.0,Mid-size,60.7,78.8,,
Anacortes School District (WA),1.0,2019-20,0.13,2795.0,147.0,147.03,31.0,Mid-size,,,,
Anacortes School District (WA),1.0,2020-21,0.13,2586.0,147.0,146.92,31.0,Mid-size,53.5,65.9,,
Anacortes School District (WA),1.0,2021-22,0.13,2551.0,143.0,142.65,31.0,Mid-size,64.9,60.7,,
Anacortes School District (WA),1.0,2022-23,0.13,2606.0,144.0,144.0,31.0,Mid-size,65.3,51.1,,
Anacortes School District (WA),1.0,2023-24,0.13,2621.0,142.0,142.03,31.0,Mid-size,56.6,54.3,81.6,77.4
Anacortes School District (WA),1.0,2024-25,0.13,2595.0,141.0,140.91,31.0,Mid-size,64.5,54.7,82.7,80.3
Arlington School District (WA),3.0,2015-16,0.3,1853.0,92.0,276.02,22.0,Suburban,65.7,75.6,,
Arlington School District (WA),3.0,2016-17,0.3,1850.0,93.0,280.16,22.0,Suburban,67.4,67.6,,
Arlington School District (WA),2.0,2017-18,0.18,2788.0,142.0,283.73,22.0,Suburban,63.7,64.8,,
Arlington School District (WA),2.0,2018-19,0.18,2915.0,150.0,300.93,22.0,Suburban,60.3,67.6,,
Arlington School District (WA),2.0,2019-20,0.18,2968.0,155.0,309.68,22.0,Suburban,,,,
Arlington School District (WA),2.0,2020-21,0.18,2726.0,155.0,309.89,22.0,Suburban,46.9,51.6,,
Arlington School District (WA),2.0,2021-22,0.18,2699.0,149.0,297.56,22.0,Suburban,46.0,45.2,,
Arlington School District (WA),2.0,2022-23,0.18,2753.0,157.0,313.0,22.0,Suburban,49.6,54.3,,
Arlington School District (WA),2.0,2023-24,0.18,2819.0,149.0,297.91,22.0,Suburban,40.9,51.2,64.6,74.9
Arlington School District (WA),0.0,2024-25,,,,293.84,22.0,Suburban,44.4,44.8,69.9,70.9
Asotin-Anatone School District (WA),0.0,2015-16,0.0,,,37.8,23.0,Suburban,65.1,71.7,,
Asotin-Anatone School District (WA),0.0,2016-17,0.0,,,38.02,23.0,Suburban,68.9,58.5,,
Asotin-Anatone School District (WA),0.0,2017-18,0.0,,,38.03,23.0,Suburban,72.7,63.9,,
Asotin-Anatone School District (WA),0.0,2018-19,0.0,,,39.42,23.0,Suburban,61.9,64.2,,
Asotin-Anatone School District (WA),0.0,2019-20,0.0,,,36.61,23.0,Suburban,,,,
Asotin-Anatone School District (WA),0.0,2020-21,0.0,,,39.6,23.0,Suburban,65.8,50.0,,
Asotin-Anatone School District (WA),0.0,2021-22,0.0,,,39.21,23.0,Suburban,78.4,57.8,,
Asotin-Anatone School District (WA),0.0,2022-23,0.0,,,39.0,23.0,Suburban,65.6,48.9,,
Asotin-Anatone School District (WA),0.0,2023-24,,,,40.0,23.0,Suburban,57.5,57.6,75.0,81.8
Asotin-Anatone School District (WA),0.0,2024-25,,,,38.33,23.0,Suburban,56.9,47.1,70.6,72.6
Auburn School District (WA),21.0,2015-16,0.91,755.0,41.0,853.82,13.0,Urban,61.1,52.1,,
Auburn School District (WA),21.02,2016-17,0.91,769.0,43.0,913.91,13.0,Urban,58.8,50.5,,
Auburn School District (WA),21.01,2017-18,0.91,796.0,43.0,912.77,13.0,Urban,59.2,49.8,,
Auburn School District (WA),21.0,2018-19,0.88,834.0,44.0,923.75,13.0,Urban,56.9,48.9,,
Auburn School District (WA),13.95,2019-20,0.58,1287.0,70.0,979.73,13.0,Urban,,,,
Auburn School District (WA),14.05,2020-21,0.56,1210.0,72.0,1005.6,13.0,Urban,31.9,28.0,,
Auburn School District (WA),15.0,2021-22,0.58,1156.0,59.0,884.88,13.0,Urban,41.4,40.5,,
Auburn School District (WA),16.0,2022-23,0.59,1116.0,66.0,1055.0,13.0,Urban,43.7,41.0,,
Auburn School District (WA),15.5,2023-24,0.6,1168.0,69.0,1066.01,13.0,Urban,39.7,35.1,58.1,57.5
Auburn School District (WA),15.0,2024-25,0.58,1212.0,70.0,1051.42,13.0,Urban,42.7,38.1,61.7,59.4
Bainbridge Island School District (WA),5.25,2015-16,0.53,747.0,39.0,205.29,22.0,Suburban,78.2,77.4,,
Bainbridge Island School District (WA),5.25,2016-17,0.53,740.0,39.0,206.05,22.0,Suburban,83.9,71.7,,
Bainbridge Island School District (WA),5.05,2017-18,0.51,767.0,40.0,201.98,22.0,Suburban,79.7,74.3,,
Bainbridge Island School District (WA),5.25,2018-19,0.53,728.0,41.0,215.45,22.0,Suburban,84.9,80.5,,
Bainbridge Island School District (WA),5.25,2019-20,0.53,730.0,40.0,207.79,22.0,Suburban,,,,
Bainbridge Island School District (WA),5.25,2020-21,0.53,686.0,40.0,208.92,22.0,Suburban,78.9,77.4,,
Bainbridge Island School District (WA),5.25,2021-22,0.53,693.0,37.0,194.12,22.0,Suburban,80.8,72.4,,
Bainbridge Island School District (WA),5.25,2022-23,0.53,685.0,38.0,202.0,22.0,Suburban,84.9,79.7,,
Bainbridge Island School District (WA),4.55,2023-24,0.46,781.0,43.0,197.63,22.0,Suburban,80.9,78.1,90.8,93.1
Bainbridge Island School District (WA),4.6,2024-25,0.46,764.0,42.0,195.27,22.0,Suburban,77.8,81.0,90.1,93.7
Battle Ground School District (WA),15.0,2015-16,0.71,905.0,48.0,721.86,21.0,Suburban,55.3,65.9,,
Battle Ground School District (WA),15.0,2016-17,0.71,895.0,50.0,742.65,21.0,Suburban,51.7,58.6,,
Battle Ground School District (WA),15.0,2017-18,0.71,893.0,50.0,756.89,21.0,Suburban,58.0,60.4,,
Battle Ground School District (WA),8.0,2018-19,0.38,1650.0,94.0,749.52,21.0,Suburban,50.0,56.6,,
Battle Ground School District (WA),8.0,2019-20,0.38,1650.0,90.0,717.24,21.0,Suburban,,,,
Battle Ground School District (WA),8.0,2020-21,0.38,1479.0,88.0,705.23,21.0,Suburban,48.2,51.4,,
Battle Ground School District (WA),8.0,2021-22,0.38,1468.0,77.0,614.81,21.0,Suburban,52.3,54.0,,
Battle Ground School District (WA),8.0,2022-23,0.38,1549.0,88.0,700.0,21.0,Suburban,49.0,49.3,,
Battle Ground School District (WA),8.0,2023-24,0.36,1553.0,90.0,719.81,21.0,Suburban,45.7,44.5,69.0,72.1
Battle Ground School District (WA),8.0,2024-25,0.38,1594.0,88.0,705.31,21.0,Suburban,48.3,46.4,67.8,72.8
Bellevue School District (WA),22.26,2015-16,0.74,901.0,50.0,1106.35,12.0,Urban,76.8,83.1,,
Bellevue School District (WA),27.89,2016-17,0.93,733.0,39.0,1084.51,12.0,Urban,74.6,77.3,,
Bellevue School District (WA),26.7,2017-18,0.89,773.0,41.0,1097.98,12.0,Urban,76.1,81.6,,
Bellevue School District (WA),28.22,2018-19,0.91,766.0,40.0,1126.06,12.0,Urban,74.1,78.1,,
Bellevue School District (WA),22.75,2019-20,0.73,953.0,52.0,1172.36,12.0,Urban,,,,
Bellevue School District (WA),13.33,2020-21,0.43,1515.0,87.0,1157.6,12.0,Urban,70.6,72.7,,
Bellevue School District (WA),18.48,2021-22,0.6,1056.0,56.0,1035.69,12.0,Urban,71.3,71.7,,
Bellevue School District (WA),17.6,2022-23,0.55,1085.0,60.0,1058.0,12.0,Urban,72.3,71.2,,
Bellevue School District (WA),0.0,2023-24,,,,1115.22,12.0,Urban,68.5,69.5,81.5,83.2
Bellevue School District (WA),0.0,2024-25,,,,1145.22,12.0,Urban,70.8,69.7,82.8,82.9
Bellingham School District (WA),19.5,2015-16,0.75,580.0,31.0,598.2,13.0,Urban,62.5,73.2,,
Bellingham School District (WA),19.2,2016-17,0.74,600.0,32.0,607.81,13.0,Urban,54.8,66.1,,
Bellingham School District (WA),19.4,2017-18,0.78,605.0,33.0,643.91,13.0,Urban,55.8,71.1,,
Bellingham School District (WA),20.89,2018-19,0.84,570.0,32.0,663.34,13.0,Urban,50.8,64.9,,
Bellingham School District (WA),12.0,2019-20,0.48,1002.0,56.0,668.14,13.0,Urban,,,,
Bellingham School District (WA),12.1,2020-21,0.48,949.0,56.0,675.55,13.0,Urban,44.8,55.7,,
Bellingham School District (WA),19.61,2021-22,0.78,583.0,34.0,659.71,13.0,Urban,47.2,55.4,,
Bellingham School District (WA),20.1,2022-23,0.8,578.0,35.0,705.0,13.0,Urban,47.8,53.8,,
Bellingham School District (WA),13.12,2023-24,0.52,876.0,51.0,671.46,13.0,Urban,46.7,49.1,65.4,68.0
Bellingham School District (WA),9.14,2024-25,0.37,1240.0,71.0,651.58,13.0,Urban,45.5,54.9,65.0,73.9
Benge School District (WA),0.0,2015-16,0.0,,,1.96,43.0,Distant Rural,,,,
Benge School District (WA),0.0,2016-17,0.0,,,1.96,43.0,Distant Rural,,,,
Benge School District (WA),0.0,2017-18,0.0,,,2.0,43.0,Distant Rural,,,,
Benge School District (WA),0.0,2018-19,0.0,,,1.99,43.0,Distant Rural,,,,
Benge School District (WA),0.0,2019-20,0.0,,,2.0,43.0,Distant Rural,,,,
Benge School District (WA),0.0,2020-21,0.0,,,1.0,43.0,Distant Rural,,,,
Benge School District (WA),0.0,2021-22,0.0,,,2.0,43.0,Distant Rural,,,,
Benge School District (WA),0.0,2022-23,0.0,,,2.0,43.0,Distant Rural,,,,
Benge School District (WA),0.0,2023-24,,,,2.0,43.0,Distant Rural,,,,
Benge School District (WA),0.0,2024-25,,,,2.0,43.0,Distant Rural,,,,
Bethel School District (WA),17.2,2015-16,0.44,1101.0,57.0,972.33,21.0,Suburban,55.3,54.8,,
Bethel School District (WA),17.69,2016-17,0.47,1087.0,56.0,984.94,21.0,Suburban,56.9,55.5,,
Bethel School District (WA),17.43,2017-18,0.54,1134.0,58.0,1011.77,21.0,Suburban,61.2,53.8,,
Bethel School District (WA),17.17,2018-19,0.54,1172.0,62.0,1063.39,21.0,Suburban,60.4,55.4,,
Bethel School District (WA),18.2,2019-20,0.59,1133.0,61.0,1118.97,21.0,Suburban,,,,
Bethel School District (WA),18.28,2020-21,0.57,1098.0,63.0,1148.83,21.0,Suburban,39.7,45.5,,
Bethel School District (WA),18.9,2021-22,0.56,1094.0,59.0,1117.28,21.0,Suburban,46.8,47.3,,
Bethel School District (WA),12.19,2022-23,0.36,1736.0,94.0,1140.0,21.0,Suburban,46.9,43.4,,
Bethel School District (WA),12.4,2023-24,0.32,1737.0,93.0,1148.96,21.0,Suburban,48.7,45.0,69.8,74.1
Bethel School District (WA),12.5,2024-25,0.35,1716.0,93.0,1160.66,21.0,Suburban,48.9,46.0,70.8,73.1
Bickleton School District (WA),0.0,2015-16,0.0,,,10.87,43.0,Distant Rural,,,,
Bickleton School District (WA),0.0,2016-17,0.0,,,11.26,43.0,Distant Rural,72.7,,,
Bickleton School District (WA),0.0,2017-18,0.0,,,11.99,43.0,Distant Rural,,70.0,,
Bickleton School District (WA),0.0,2018-19,0.0,,,13.01,43.0,Distant Rural,33.3,,,
Bickleton School District (WA),0.0,2019-20,0.0,,,12.7,43.0,Distant Rural,,,,
Bickleton School District (WA),0.0,2020-21,0.0,,,12.02,43.0,Distant Rural,83.3,,,
Bickleton School District (WA),0.0,2021-22,0.0,,,12.0,43.0,Distant Rural,,,,
Bickleton School District (WA),0.0,2022-23,0.0,,,12.0,43.0,Distant Rural,,,,
Bickleton School District (WA),0.0,2023-24,,,,12.7,43.0,Distant Rural,,,,
Bickleton School District (WA),0.0,2024-25,,,,13.0,43.0,Distant Rural,,,,
Blaine School District (WA),2.8,2015-16,0.47,798.0,41.0,114.85,31.0,Mid-size,48.8,71.0,,
Blaine School District (WA),3.0,2016-17,0.43,752.0,40.0,120.0,31.0,Mid-size,56.1,51.0,,
Blaine School District (WA),3.0,2017-18,0.43,750.0,41.0,121.89,31.0,Mid-size,52.0,58.4,,
Blaine School District (WA),2.0,2018-19,0.29,1150.0,63.0,126.79,31.0,Mid-size,46.6,55.9,,
Blaine School District (WA),1.0,2019-20,0.14,2290.0,129.0,129.25,31.0,Mid-size,,,,
Blaine School District (WA),1.0,2020-21,0.14,2164.0,127.0,127.19,31.0,Mid-size,40.7,52.1,,
Blaine School District (WA),1.0,2021-22,0.14,2145.0,118.0,117.82,31.0,Mid-size,32.3,48.5,,
Blaine School District (WA),1.0,2022-23,0.14,2081.0,131.0,131.0,31.0,Mid-size,34.6,40.8,,
Blaine School District (WA),0.0,2023-24,,,,116.59,31.0,Mid-size,35.9,40.6,54.9,69.2
Blaine School District (WA),0.0,2024-25,,,,103.63,31.0,Mid-size,34.9,47.7,56.8,74.8
Boistfort School District (WA),0.0,2015-16,0.0,,,6.0,42.0,Distant Rural,,,,
Boistfort School District (WA),0.0,2016-17,0.0,,,6.0,42.0,Distant Rural,40.0,,,
Boistfort School District (WA),0.0,2017-18,0.0,,,4.0,42.0,Distant Rural,,,,
Boistfort School District (WA),0.0,2018-19,0.0,,,6.17,42.0,Distant Rural,29.4,,,
Boistfort School District (WA),0.0,2019-20,0.0,,,6.0,42.0,Distant Rural,,,,
Boistfort School District (WA),0.0,2020-21,0.0,,,8.06,42.0,Distant Rural,,,,
Boistfort School District (WA),0.0,2021-22,0.0,,,6.0,42.0,Distant Rural,,,,
Boistfort School District (WA),0.0,2022-23,0.0,,,4.0,42.0,Distant Rural,,36.4,,
Boistfort School District (WA),0.0,2023-24,,,,6.0,42.0,Distant Rural,40.0,,80.0,
Boistfort School District (WA),0.0,2024-25,,,,5.57,42.0,Distant Rural,,,,
Bremerton School District (WA),5.75,2015-16,0.41,902.0,55.0,319.0,13.0,Urban,51.7,40.4,,
Bremerton School District (WA),5.74,2016-17,0.41,895.0,57.0,324.37,13.0,Urban,42.2,41.2,,
Bremerton School District (WA),5.74,2017-18,0.41,882.0,55.0,318.15,13.0,Urban,48.7,45.8,,
Bremerton School District (WA),5.85,2018-19,0.42,857.0,56.0,325.93,13.0,Urban,47.4,43.1,,
Bremerton School District (WA),5.0,2019-20,0.36,991.0,64.0,318.78,13.0,Urban,,,,
Bremerton School District (WA),1.01,2020-21,0.07,4491.0,302.0,305.27,13.0,Urban,37.0,37.0,,
Bremerton School District (WA),1.0,2021-22,0.07,4404.0,288.0,287.88,13.0,Urban,38.3,29.5,,
Bremerton School District (WA),1.0,2022-23,0.08,4383.0,303.0,303.0,13.0,Urban,32.7,24.9,,
Bremerton School District (WA),1.0,2023-24,0.08,4367.0,280.0,279.89,13.0,Urban,41.1,27.0,54.7,49.6
Bremerton School District (WA),1.0,2024-25,0.08,4383.0,280.0,280.03,13.0,Urban,38.8,27.2,60.3,49.5
Brewster School District (WA),0.75,2015-16,0.19,1329.0,80.0,59.88,43.0,Distant Rural,30.3,23.7,,
Brewster School District (WA),0.7,2016-17,0.18,1376.0,86.0,59.96,43.0,Distant Rural,30.1,37.3,,
Brewster School District (WA),0.0,2017-18,0.0,,,55.25,43.0,Distant Rural,32.9,34.7,,
Brewster School District (WA),0.0,2018-19,0.0,,,55.15,43.0,Distant Rural,23.9,55.4,,
Brewster School District (WA),0.0,2019-20,0.0,,,58.25,43.0,Distant Rural,,,,
Brewster School District (WA),0.0,2020-21,0.0,,,52.14,43.0,Distant Rural,28.8,35.0,,
Brewster School District (WA),0.0,2021-22,0.0,,,57.58,43.0,Distant Rural,25.0,45.7,,
Brewster School District (WA),0.0,2022-23,0.0,,,58.0,43.0,Distant Rural,25.9,37.1,,
Brewster School District (WA),0.0,2023-24,,,,59.92,43.0,Distant Rural,11.9,50.6,37.3,74.7
Brewster School District (WA),0.0,2024-25,,,,58.87,43.0,Distant Rural,32.1,42.7,62.5,76.0
Bridgeport School District (WA),0.0,2015-16,0.0,,,51.01,43.0,Distant Rural,14.7,41.9,,
Bridgeport School District (WA),0.0,2016-17,0.0,,,57.79,43.0,Distant Rural,12.7,32.2,,
Bridgeport School District (WA),0.0,2017-18,0.0,,,51.84,43.0,Distant Rural,28.1,33.3,,
Bridgeport School District (WA),0.0,2018-19,0.0,,,55.48,43.0,Distant Rural,20.7,34.0,,
Bridgeport School District (WA),0.0,2019-20,0.0,,,55.12,43.0,Distant Rural,,,,
Bridgeport School District (WA),0.0,2020-21,0.0,,,44.1,43.0,Distant Rural,20.0,19.7,,
Bridgeport School District (WA),0.0,2021-22,0.0,,,46.23,43.0,Distant Rural,26.3,25.0,,
Bridgeport School District (WA),0.0,2022-23,0.0,,,50.0,43.0,Distant Rural,18.8,27.4,,
Bridgeport School District (WA),0.0,2023-24,,,,48.26,43.0,Distant Rural,,24.6,15.6,54.1
Bridgeport School District (WA),0.0,2024-25,,,,45.0,43.0,Distant Rural,7.8,22.2,29.4,50.0
Brinnon School District (WA),0.0,2015-16,0.0,,,4.1,41.0,Rural,,,,
Brinnon School District (WA),0.0,2016-17,0.0,,,4.12,41.0,Rural,,,,
Brinnon School District (WA),0.0,2017-18,0.0,,,4.3,41.0,Rural,70.0,,,
Brinnon School District (WA),0.0,2018-19,0.0,,,5.34,41.0,Rural,,,,
Brinnon School District (WA),0.0,2019-20,0.0,,,5.33,41.0,Rural,,,,
Brinnon School District (WA),0.0,2020-21,0.0,,,5.32,41.0,Rural,72.7,,,
Brinnon School District (WA),0.0,2021-22,0.0,,,6.13,41.0,Rural,72.7,,,
Brinnon School District (WA),0.0,2022-23,0.0,,,6.0,41.0,Rural,,,,
Brinnon School District (WA),0.0,2023-24,,,,5.69,42.0,Distant Rural,,,,
Brinnon School District (WA),0.0,2024-25,,,,5.18,42.0,Distant Rural,63.6,,72.7,
Burlington-Edison School District (WA),0.0,2015-16,-0.13,-3683.0,-208.0,208.31,23.0,Suburban,46.0,49.4,,
Burlington-Edison School District (WA),0.0,2016-17,0.0,,,206.23,23.0,Suburban,25.7,48.0,,
Burlington-Edison School District (WA),0.0,2017-18,0.0,,,205.59,23.0,Suburban,34.2,39.6,,
Burlington-Edison School District (WA),0.0,2018-19,0.0,,,203.6,23.0,Suburban,34.6,33.6,,
Burlington-Edison School District (WA),0.0,2019-20,0.0,,,209.5,23.0,Suburban,,,,
Burlington-Edison School District (WA),0.0,2020-21,0.0,,,206.97,23.0,Suburban,34.0,40.1,,
Burlington-Edison School District (WA),0.0,2021-22,0.0,,,192.0,23.0,Suburban,33.5,37.5,,
Burlington-Edison School District (WA),0.0,2022-23,0.0,,,220.0,23.0,Suburban,31.7,42.2,,
Burlington-Edison School District (WA),0.0,2023-24,,,,204.39,23.0,Suburban,29.1,27.6,55.6,57.7
Burlington-Edison School District (WA),0.0,2024-25,,,,205.27,23.0,Suburban,27.7,30.3,47.0,55.1
Camas School District (WA),8.59,2015-16,0.78,804.0,41.0,351.12,21.0,Suburban,80.6,84.1,,
Camas School District (WA),8.6,2016-17,0.78,825.0,43.0,366.01,21.0,Suburban,77.8,78.5,,
Camas School District (WA),8.6,2017-18,0.78,825.0,44.0,379.4,21.0,Suburban,80.2,78.2,,
Camas School District (WA),9.0,2018-19,0.64,828.0,44.0,392.21,21.0,Suburban,80.3,76.4,,
Camas School District (WA),9.4,2019-20,0.63,810.0,41.0,384.5,21.0,Suburban,,,,
Camas School District (WA),9.4,2020-21,0.63,770.0,43.0,402.25,21.0,Suburban,74.6,73.5,,
Camas School District (WA),9.6,2021-22,0.6,753.0,41.0,388.95,21.0,Suburban,74.4,73.0,,
Camas School District (WA),9.6,2022-23,0.6,763.0,43.0,410.0,21.0,Suburban,74.7,75.3,,
Camas School District (WA),9.5,2023-24,0.59,763.0,40.0,384.62,21.0,Suburban,70.5,69.1,86.6,86.1
Camas School District (WA),9.5,2024-25,0.63,762.0,40.0,382.91,21.0,Suburban,78.4,68.5,89.7,85.9
Cape Flattery School District (WA),0.0,2015-16,-0.25,-475.0,-39.0,39.19,43.0,Distant Rural,71.0,34.6,,
Cape Flattery School District (WA),0.0,2016-17,0.0,,,36.53,43.0,Distant Rural,60.5,43.9,,
Cape Flattery School District (WA),0.0,2017-18,0.0,,,39.51,43.0,Distant Rural,46.2,51.4,,
Cape Flattery School District (WA),0.0,2018-19,0.0,,,38.51,43.0,Distant Rural,48.6,48.3,,
Cape Flattery School District (WA),0.0,2019-20,0.0,,,38.32,43.0,Distant Rural,,,,
Cape Flattery School District (WA),0.0,2020-21,0.0,,,38.92,43.0,Distant Rural,22.0,35.1,,
Cape Flattery School District (WA),0.0,2021-22,0.0,,,42.32,43.0,Distant Rural,29.3,28.6,,
Cape Flattery School District (WA),0.0,2022-23,0.0,,,40.0,43.0,Distant Rural,33.3,30.6,,
Cape Flattery School District (WA),0.0,2023-24,,,,38.99,43.0,Distant Rural,32.4,55.6,59.5,84.4
Cape Flattery School District (WA),0.0,2024-25,,,,39.88,43.0,Distant Rural,30.6,27.9,71.4,62.8
Carbonado School District (WA),0.0,2015-16,0.0,,,11.5,41.0,Rural,47.6,66.7,,
Carbonado School District (WA),0.0,2016-17,0.0,,,12.11,41.0,Rural,81.0,76.2,,
Carbonado School District (WA),0.0,2017-18,0.0,,,12.51,41.0,Rural,76.2,60.9,,
Carbonado School District (WA),0.0,2018-19,0.0,,,12.51,41.0,Rural,61.1,82.4,,
Carbonado School District (WA),0.0,2019-20,0.0,,,12.5,41.0,Rural,,,,
Carbonado School District (WA),0.0,2020-21,0.0,,,11.5,41.0,Rural,66.7,80.0,,
Carbonado School District (WA),0.0,2021-22,0.0,,,12.5,41.0,Rural,42.9,80.0,,
Carbonado School District (WA),0.0,2022-23,0.0,,,13.0,41.0,Rural,50.0,,,
Carbonado School District (WA),0.0,2023-24,,,,12.52,41.0,Rural,68.8,76.2,93.8,100.0
Carbonado School District (WA),0.0,2024-25,,,,12.73,41.0,Rural,62.5,58.3,87.5,91.7
Cascade School District (WA),0.0,2015-16,0.0,,,78.02,32.0,Mid-size,60.0,76.8,,
Cascade School District (WA),0.0,2016-17,0.0,,,81.35,32.0,Mid-size,67.3,71.3,,
Cascade School District (WA),0.0,2017-18,0.0,,,76.01,32.0,Mid-size,64.9,64.0,,
Cascade School District (WA),0.0,2018-19,0.0,,,79.15,32.0,Mid-size,65.7,68.1,,
Cascade School District (WA),0.0,2019-20,0.0,,,80.5,32.0,Mid-size,,,,
Cascade School District (WA),0.0,2020-21,0.0,,,77.71,32.0,Mid-size,45.9,54.2,,
Cascade School District (WA),0.0,2021-22,0.0,,,83.17,32.0,Mid-size,63.5,53.2,,
Cascade School District (WA),0.0,2022-23,0.0,,,85.0,32.0,Mid-size,76.5,53.8,,
Cascade School District (WA),0.0,2023-24,,,,74.69,42.0,Distant Rural,58.6,55.9,75.9,82.8
Cascade School District (WA),0.0,2024-25,,,,78.23,42.0,Distant Rural,68.5,56.8,81.5,85.2
Cashmere School District (WA),2.68,2015-16,0.89,576.0,32.0,84.64,31.0,Mid-size,63.8,67.0,,
Cashmere School District (WA),2.24,2016-17,0.75,719.0,39.0,87.84,31.0,Mid-size,61.0,69.7,,
Cashmere School District (WA),2.47,2017-18,0.82,651.0,37.0,91.31,31.0,Mid-size,65.1,65.2,,
Cashmere School District (WA),1.95,2018-19,0.65,872.0,47.0,91.6,31.0,Mid-size,60.3,69.0,,
Cashmere School District (WA),1.5,2019-20,0.5,1117.0,63.0,95.03,31.0,Mid-size,,,,
Cashmere School District (WA),1.8,2020-21,0.6,903.0,53.0,94.97,31.0,Mid-size,53.4,50.0,,
Cashmere School District (WA),1.73,2021-22,0.58,938.0,53.0,92.26,31.0,Mid-size,60.0,65.9,,
Cashmere School District (WA),1.75,2022-23,0.58,903.0,58.0,101.0,31.0,Mid-size,63.7,74.6,,
Cashmere School District (WA),1.0,2023-24,0.33,1630.0,102.0,101.7,23.0,Suburban,69.8,72.7,88.2,92.2
Cashmere School District (WA),1.0,2024-25,0.33,1677.0,97.0,97.45,23.0,Suburban,72.6,69.3,87.3,91.3
Castle Rock School District (WA),0.0,2015-16,0.0,,,67.4,31.0,Mid-size,51.9,57.0,,
Castle Rock School District (WA),0.0,2016-17,0.0,,,69.9,31.0,Mid-size,65.8,48.2,,
Castle Rock School District (WA),0.0,2017-18,0.0,,,72.13,31.0,Mid-size,52.3,57.1,,
Castle Rock School District (WA),0.0,2018-19,0.0,,,74.52,31.0,Mid-size,48.1,59.3,,
Castle Rock School District (WA),0.0,2019-20,0.0,,,74.88,31.0,Mid-size,,,,
Castle Rock School District (WA),0.0,2020-21,0.0,,,69.98,31.0,Mid-size,30.6,36.4,,
Castle Rock School District (WA),0.0,2021-22,0.0,,,75.87,31.0,Mid-size,47.4,39.7,,
